full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
4,215694,0,2012,Actual,Full Year,Atwater Kent Museum,2012-06-30,Atwater Kent Museum,Atwater Kent,18
4,220143,1937,2013,Actual,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,Atwater Kent,18
3,227307,2333,2014,Actual,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,Atwater Kent,18
4,234719,3074,2015,Adopted Budget,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,Atwater Kent,18
4,243200,3074,2015,Target Budget,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,Atwater Kent,18
2,243200,2530,2015,Current Projection,Full Year,Atwater Kent Museum,2015-06-30,Atwater Kent Museum,Atwater Kent,18
111,6600290,58522,2012,Actual,Full Year,Auditing,2012-06-30,City Controller's Office,,61
118,6475510,58829,2013,Actual,Full Year,Auditing,2013-06-30,City Controller's Office,,61
111,7070173,65036,2014,Actual,Full Year,Auditing,2014-06-30,City Controller's Office,,61
126,7549687,50000,2015,Adopted Budget,Full Year,Auditing,2015-06-30,City Controller's Office,,61
126,7673028,50000,2015,Target Budget,Full Year,Auditing,2015-06-30,City Controller's Office,,61
129,7673028,138581,2015,Current Projection,Full Year,Auditing,2015-06-30,City Controller's Office,,61
8,657532,0,2012,Actual,Full Year,Board of Ethics,2012-06-30,Board of Ethics,,45
8,685698,0,2013,Actual,Full Year,Board of Ethics,2013-06-30,Board of Ethics,,45
9,741674,0,2014,Actual,Full Year,Board of Ethics,2014-06-30,Board of Ethics,,45
12,894854,0,2015,Adopted Budget,Full Year,Board of Ethics,2015-06-30,Board of Ethics,,45
12,918580,0,2015,Target Budget,Full Year,Board of Ethics,2015-06-30,Board of Ethics,,45
9,918580,0,2015,Current Projection,Full Year,Board of Ethics,2015-06-30,Board of Ethics,,45
8,503932,0,2012,Actual,Full Year,Board of Revision of Taxes,2012-06-30,Board of Revision of Taxes,BRT,63
7,1021653,0,2013,Actual,Full Year,Board of Revision of Taxes,2013-06-30,Board of Revision of Taxes,BRT,63
11,1015351,0,2014,Actual,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,BRT,63
14,796660,0,2015,Adopted Budget,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,BRT,63
14,964933,0,2015,Target Budget,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,BRT,63
12,964933,0,2015,Current Projection,Full Year,Board of Revision of Taxes,2015-06-30,Board of Revision of Taxes,BRT,63
91,4948351,756828,2012,Actual,Full Year,City Commissioners,2012-06-30,City Commissioner's Office,City Commissioners,73
90,5166337,1061085,2013,Actual,Full Year,City Commissioners,2013-06-30,City Commissioner's Office,City Commissioners,73
84,4822174,863984,2014,Actual,Full Year,City Commissioners,2014-06-30,City Commissioner's Office,City Commissioners,73
98,5387427,829805,2015,Adopted Budget,Full Year,City Commissioners,2015-06-30,City Commissioner's Office,City Commissioners,73
98,5703965,829805,2015,Target Budget,Full Year,City Commissioners,2015-06-30,City Commissioner's Office,City Commissioners,73
91,5203965,889419,2015,Current Projection,Full Year,City Commissioners,2015-06-30,City Commissioner's Office,City Commissioners,73
175,11817917,2559,2012,Actual,Full Year,City Council,2012-06-30,City Council,,01
173,11660823,5866,2013,Actual,Full Year,City Council,2013-06-30,City Council,,01
169,11997588,886,2014,Actual,Full Year,City Council,2014-06-30,City Council,,01
195,13899124,0,2015,Adopted Budget,Full Year,City Council,2015-06-30,City Council,,01
195,14241265,0,2015,Target Budget,Full Year,City Council,2015-06-30,City Council,,01
176,12341265,10351,2015,Current Projection,Full Year,City Council,2015-06-30,City Council,,01
34,2091813,0,2012,Actual,Full Year,City Planning Commission,2012-06-30,City Planning Commission,,51
31,2137171,0,2013,Actual,Full Year,City Planning Commission,2013-06-30,City Planning Commission,,51
30,2192556,150,2014,Actual,Full Year,City Planning Commission,2014-06-30,City Planning Commission,,51
32,2252584,0,2015,Adopted Budget,Full Year,City Planning Commission,2015-06-30,City Planning Commission,,51
32,2259423,1000,2015,Target Budget,Full Year,City Planning Commission,2015-06-30,City Planning Commission,,51
29,2259423,1055,2015,Current Projection,Full Year,City Planning Commission,2015-06-30,City Planning Commission,,51
6,328571,0,2012,Actual,Full Year,City Representative,2012-06-30,Office of the City Representative,City Rep,41
8,416871,2190,2013,Actual,Full Year,City Representative,2013-06-30,Office of the City Representative,City Rep,41
7,400499,2953,2014,Actual,Full Year,City Representative,2014-06-30,Office of the City Representative,City Rep,41
7,403358,0,2015,Adopted Budget,Full Year,City Representative,2015-06-30,Office of the City Representative,City Rep,41
7,413621,7500,2015,Target Budget,Full Year,City Representative,2015-06-30,Office of the City Representative,City Rep,41
6,413621,8737,2015,Current Projection,Full Year,City Representative,2015-06-30,Office of the City Representative,City Rep,41
14,717071,0,2012,Actual,Full Year,City Treasurer,2012-06-30,Office of the City Treasurer,City Treasurer,40
13,755428,0,2013,Actual,Full Year,City Treasurer,2013-06-30,Office of the City Treasurer,City Treasurer,40
14,785368,0,2014,Actual,Full Year,City Treasurer,2014-06-30,Office of the City Treasurer,City Treasurer,40
14,780122,0,2015,Adopted Budget,Full Year,City Treasurer,2015-06-30,Office of the City Treasurer,City Treasurer,40
16,802019,0,2015,Target Budget,Full Year,City Treasurer,2015-06-30,Office of the City Treasurer,City Treasurer,40
14,802019,0,2015,Current Projection,Full Year,City Treasurer,2015-06-30,Office of the City Treasurer,City Treasurer,40
2,136782,0,2012,Actual,Full Year,Civil Service Commission,2012-06-30,Civil Service Commission,,55
2,140785,0,2013,Actual,Full Year,Civil Service Commission,2013-06-30,Civil Service Commission,,55
2,146586,0,2014,Actual,Full Year,Civil Service Commission,2014-06-30,Civil Service Commission,,55
2,143541,0,2015,Adopted Budget,Full Year,Civil Service Commission,2015-06-30,Civil Service Commission,,55
2,147633,0,2015,Target Budget,Full Year,Civil Service Commission,2015-06-30,Civil Service Commission,,55
2,147633,15,2015,Current Projection,Full Year,Civil Service Commission,2015-06-30,Civil Service Commission,,55
18,1594665,132,2012,Actual,Full Year,Commerce,2012-06-30,Office of the Director of Commerce,Commerce,42
20,1685843,449,2013,Actual,Full Year,Commerce,2013-06-30,Office of the Director of Commerce,Commerce,42
