full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,abbreviation,dept_code
4,256771,2413,2018,Actual,Full Year,Atwater Kent Museum,2018-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2019,Actual,Full Year,Atwater Kent Museum,2019-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2020,Actual,Full Year,Atwater Kent Museum,2020-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2021,Adopted Budget,Full Year,Atwater Kent Museum,2021-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2021,Target Budget,Full Year,Atwater Kent Museum,2021-06-30,Atwater Kent Museum,Atwater Kent,18
0,0,0,2021,Current Projection,Full Year,Atwater Kent Museum,2021-06-30,Atwater Kent Museum,Atwater Kent,18
116,8324348,88050,2018,Actual,Full Year,Auditing,2018-06-30,City Controller's Office,,61
124,8650965,73243,2019,Actual,Full Year,Auditing,2019-06-30,City Controller's Office,,61
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,City Controller's Office,,61
135,9045839,80000,2021,Adopted Budget,Full Year,Auditing,2021-06-30,City Controller's Office,,61
135,9045839,80000,2021,Target Budget,Full Year,Auditing,2021-06-30,City Controller's Office,,61
118,9045839,40000,2021,Current Projection,Full Year,Auditing,2021-06-30,City Controller's Office,,61
10,942040,0,2018,Actual,Full Year,Board of Ethics,2018-06-30,Board of Ethics,,45
10,875033,0,2019,Actual,Full Year,Board of Ethics,2019-06-30,Board of Ethics,,45
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,Board of Ethics,,45
10,915196,0,2021,Adopted Budget,Full Year,Board of Ethics,2021-06-30,Board of Ethics,,45
10,915196,0,2021,Target Budget,Full Year,Board of Ethics,2021-06-30,Board of Ethics,,45
9,915196,0,2021,Current Projection,Full Year,Board of Ethics,2021-06-30,Board of Ethics,,45
11,904051,0,2018,Actual,Full Year,Board of Revision of Taxes,2018-06-30,Board of Revision of Taxes,BRT,63
11,928286,190,2019,Actual,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,BRT,63
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,BRT,63
16,987587,0,2021,Adopted Budget,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,BRT,63
16,987587,90,2021,Target Budget,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,BRT,63
15,987587,90,2021,Current Projection,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,BRT,63
100,5524532,803429,2018,Actual,Full Year,City Commissioners,2018-06-30,City Commissioner's Office,City Commissioners,73
94,5830533,1033718,2019,Actual,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,City Commissioners,73
98,7075077,1592963,2020,Actual,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,City Commissioners,73
105,6714174,1097554,2021,Adopted Budget,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,City Commissioners,73
105,6714174,1975941,2021,Target Budget,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,City Commissioners,73
137,6714174,1535000,2021,Current Projection,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,City Commissioners,73
192,13909585,14624,2018,Actual,Full Year,City Council,2018-06-30,City Council,,01
197,14104805,2882,2019,Actual,Full Year,City Council,2019-06-30,City Council,,01
180,14433197,0,2020,Actual,Full Year,City Council,2020-06-30,City Council,,01
208,14877138,0,2021,Adopted Budget,Full Year,City Council,2021-06-30,City Council,,01
208,14327138,0,2021,Target Budget,Full Year,City Council,2021-06-30,City Council,,01
182,14327138,0,2021,Current Projection,Full Year,City Council,2021-06-30,City Council,,01
9,631584,4165,2018,Actual,Full Year,City Representative,2018-06-30,Office of the City Representative,City Rep,41
8,714833,2239,2019,Actual,Full Year,City Representative,2019-06-30,Office of the City Representative,City Rep,41
5,683372,0,2020,Actual,Full Year,City Representative,2020-06-30,Office of the City Representative,City Rep,41
0,0,0,2021,Adopted Budget,Full Year,City Representative,2021-06-30,Office of the City Representative,City Rep,41
0,0,0,2021,Target Budget,Full Year,City Representative,2021-06-30,Office of the City Representative,City Rep,41
0,0,0,2021,Current Projection,Full Year,City Representative,2021-06-30,Office of the City Representative,City Rep,41
