full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,City Controller's Office,61,
118,9311029,39619,2021,Actual,Full Year,Auditing,2021-06-30,City Controller's Office,61,
109,9523506,58666,2022,Actual,Full Year,Auditing,2022-06-30,City Controller's Office,61,
105,6554096,60000,2023,Target Budget,YTD,Auditing,2023-03-31,City Controller's Office,61,
105,6554096,57161,2023,Actual,YTD,Auditing,2023-03-31,City Controller's Office,61,
135,10285869,80000,2023,Adopted Budget,Full Year,Auditing,2023-03-31,City Controller's Office,61,
135,10285869,80000,2023,Target Budget,Full Year,Auditing,2023-03-31,City Controller's Office,61,
135,10300191,80000,2023,Current Projection,Full Year,Auditing,2023-03-31,City Controller's Office,61,
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,Board of Ethics,45,
9,801988,0,2021,Actual,Full Year,Board of Ethics,2021-06-30,Board of Ethics,45,
9,848155,0,2022,Actual,Full Year,Board of Ethics,2022-06-30,Board of Ethics,45,
9,667537,0,2023,Target Budget,YTD,Board of Ethics,2023-03-31,Board of Ethics,45,
9,667537,0,2023,Actual,YTD,Board of Ethics,2023-03-31,Board of Ethics,45,
12,1121902,0,2023,Adopted Budget,Full Year,Board of Ethics,2023-03-31,Board of Ethics,45,
12,1121902,0,2023,Target Budget,Full Year,Board of Ethics,2023-03-31,Board of Ethics,45,
12,1082835,0,2023,Current Projection,Full Year,Board of Ethics,2023-03-31,Board of Ethics,45,
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,63,BRT
15,1002561,45,2021,Actual,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,63,BRT
14,988226,1801,2022,Actual,Full Year,Board of Revision of Taxes,2022-06-30,Board of Revision of Taxes,63,BRT
15,701540,150,2023,Target Budget,YTD,Board of Revision of Taxes,2023-03-31,Board of Revision of Taxes,63,BRT
15,701540,517,2023,Actual,YTD,Board of Revision of Taxes,2023-03-31,Board of Revision of Taxes,63,BRT
16,1057610,0,2023,Adopted Budget,Full Year,Board of Revision of Taxes,2023-03-31,Board of Revision of Taxes,63,BRT
16,1057610,200,2023,Target Budget,Full Year,Board of Revision of Taxes,2023-03-31,Board of Revision of Taxes,63,BRT
16,1064422,700,2023,Current Projection,Full Year,Board of Revision of Taxes,2023-03-31,Board of Revision of Taxes,63,BRT
98,7075077,1592963,2020,Actual,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,73,City Commissioners
137,8293480,1531588,2021,Actual,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,73,City Commissioners
134,7768164,1230728,2022,Actual,Full Year,City Commissioners,2022-06-30,City Commissioner's Office,73,City Commissioners
143,6217765,1110415,2023,Target Budget,YTD,City Commissioners,2023-03-31,City Commissioner's Office,73,City Commissioners
143,6217765,1024472,2023,Actual,YTD,City Commissioners,2023-03-31,City Commissioner's Office,73,City Commissioners
187,10927174,1480553,2023,Adopted Budget,Full Year,City Commissioners,2023-03-31,City Commissioner's Office,73,City Commissioners
187,12898896,1480553,2023,Target Budget,Full Year,City Commissioners,2023-03-31,City Commissioner's Office,73,City Commissioners
150,9909921,1480553,2023,Current Projection,Full Year,City Commissioners,2023-03-31,City Commissioner's Office,73,City Commissioners
