full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
124,8650965,73243,2019,Actual,Full Year,Auditing,2019-06-30,City Controller's Office,61,
121,9466389,60388,2020,Actual,Full Year,Auditing,2020-06-30,City Controller's Office,61,
118,9311029,39619,2021,Actual,Full Year,Auditing,2021-06-30,City Controller's Office,61,
109,7002686,37500,2022,Target Budget,YTD,Auditing,2022-03-31,City Controller's Office,61,
109,7002686,56751,2022,Actual,YTD,Auditing,2022-03-31,City Controller's Office,61,
135,9330839,80000,2022,Adopted Budget,Full Year,Auditing,2022-03-31,City Controller's Office,61,
135,9785988,50000,2022,Target Budget,Full Year,Auditing,2022-03-31,City Controller's Office,61,
135,9785988,60000,2022,Current Projection,Full Year,Auditing,2022-03-31,City Controller's Office,61,
10,875033,0,2019,Actual,Full Year,Board of Ethics,2019-06-30,Board of Ethics,45,
7,922164,0,2020,Actual,Full Year,Board of Ethics,2020-06-30,Board of Ethics,45,
9,801988,0,2021,Actual,Full Year,Board of Ethics,2021-06-30,Board of Ethics,45,
9,587478,0,2022,Target Budget,YTD,Board of Ethics,2022-03-31,Board of Ethics,45,
9,587478,0,2022,Actual,YTD,Board of Ethics,2022-03-31,Board of Ethics,45,
10,915196,0,2022,Adopted Budget,Full Year,Board of Ethics,2022-03-31,Board of Ethics,45,
10,938750,0,2022,Target Budget,Full Year,Board of Ethics,2022-03-31,Board of Ethics,45,
10,938750,0,2022,Current Projection,Full Year,Board of Ethics,2022-03-31,Board of Ethics,45,
11,928286,190,2019,Actual,Full Year,Board of Revision of Taxes,2019-06-30,Board of Revision of Taxes,63,BRT
14,1044789,1967,2020,Actual,Full Year,Board of Revision of Taxes,2020-06-30,Board of Revision of Taxes,63,BRT
15,1002561,45,2021,Actual,Full Year,Board of Revision of Taxes,2021-06-30,Board of Revision of Taxes,63,BRT
14,707033,2250,2022,Target Budget,YTD,Board of Revision of Taxes,2022-03-31,Board of Revision of Taxes,63,BRT
14,707033,1801,2022,Actual,YTD,Board of Revision of Taxes,2022-03-31,Board of Revision of Taxes,63,BRT
16,997835,0,2022,Adopted Budget,Full Year,Board of Revision of Taxes,2022-03-31,Board of Revision of Taxes,63,BRT
16,1019348,3000,2022,Target Budget,Full Year,Board of Revision of Taxes,2022-03-31,Board of Revision of Taxes,63,BRT
16,1019348,3000,2022,Current Projection,Full Year,Board of Revision of Taxes,2022-03-31,Board of Revision of Taxes,63,BRT
94,5830533,1033718,2019,Actual,Full Year,City Commissioners,2019-06-30,City Commissioner's Office,73,City Commissioners
98,7075077,1592963,2020,Actual,Full Year,City Commissioners,2020-06-30,City Commissioner's Office,73,City Commissioners
137,8293480,1531588,2021,Actual,Full Year,City Commissioners,2021-06-30,City Commissioner's Office,73,City Commissioners
118,5215836,790003,2022,Target Budget,YTD,City Commissioners,2022-03-31,City Commissioner's Office,73,City Commissioners
118,5215836,709531,2022,Actual,YTD,City Commissioners,2022-03-31,City Commissioner's Office,73,City Commissioners
106,8413534,1053337,2022,Adopted Budget,Full Year,City Commissioners,2022-03-31,City Commissioner's Office,73,City Commissioners
106,10936150,1053337,2022,Target Budget,Full Year,City Commissioners,2022-03-31,City Commissioner's Office,73,City Commissioners
106,10936150,1053337,2022,Current Projection,Full Year,City Commissioners,2022-03-31,City Commissioner's Office,73,City Commissioners
197,14104805,2882,2019,Actual,Full Year,City Council,2019-06-30,City Council,01,
180,14433197,0,2020,Actual,Full Year,City Council,2020-06-30,City Council,01,
182,14051449,245,2021,Actual,Full Year,City Council,2021-06-30,City Council,01,
178,10146786,0,2022,Target Budget,YTD,City Council,2022-03-31,City Council,01,
178,10146786,0,2022,Actual,YTD,City Council,2022-03-31,City Council,01,
188,15627138,0,2022,Adopted Budget,Full Year,City Council,2022-03-31,City Council,01,
188,15814053,0,2022,Target Budget,Full Year,City Council,2022-03-31,City Council,01,
188,15853058,0,2022,Current Projection,Full Year,City Council,2022-03-31,City Council,01,
8,714833,2239,2019,Actual,Full Year,City Representative,2019-06-30,Office of the City Representative,41,City Rep
5,683372,0,2020,Actual,Full Year,City Representative,2020-06-30,Office of the City Representative,41,City Rep
0,0,0,2021,Actual,Full Year,City Representative,2021-06-30,Office of the City Representative,41,City Rep
0,0,0,2022,Target Budget,YTD,City Representative,2022-03-31,Office of the City Representative,41,City Rep
0,0,0,2022,Actual,YTD,City Representative,2022-03-31,Office of the City Representative,41,City Rep
0,0,0,2022,Adopted Budget,Full Year,City Representative,2022-03-31,Office of the City Representative,41,City Rep
0,0,0,2022,Target Budget,Full Year,City Representative,2022-03-31,Office of the City Representative,41,City Rep
0,0,0,2022,Current Projection,Full Year,City Representative,2022-03-31,Office of the City Representative,41,City Rep
16,1098380,3927,2019,Actual,Full Year,City Treasurer,2019-06-30,Office of the City Treasurer,40,City Treasurer
