full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
4,256702,10197,2008,Actual,Full Year,Atwater Kent Museum,2008-06-30,Atwater Kent Museum,18,Atwater Kent
4,225971,6932,2009,Actual,Full Year,Atwater Kent Museum,2009-06-30,Atwater Kent Museum,18,Atwater Kent
4,248059,82,2010,Actual,Full Year,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,18,Atwater Kent
4,198630,0,2011,Adopted Budget,Full Year,Atwater Kent Museum,2011-06-30,Atwater Kent Museum,18,Atwater Kent
4,198630,0,2011,Target Budget,Full Year,Atwater Kent Museum,2011-06-30,Atwater Kent Museum,18,Atwater Kent
4,183630,874,2011,Current Projection,Full Year,Atwater Kent Museum,2011-06-30,Atwater Kent Museum,18,Atwater Kent
121,7104935,88306,2008,Actual,Full Year,Auditing,2008-06-30,City Controller's Office,61,
124,7362568,58793,2009,Actual,Full Year,Auditing,2009-06-30,City Controller's Office,61,
120,6886798,43683,2010,Actual,Full Year,Auditing,2010-06-30,City Controller's Office,61,
123,6889116,0,2011,Adopted Budget,Full Year,Auditing,2011-06-30,City Controller's Office,61,
122,6833602,0,2011,Target Budget,Full Year,Auditing,2011-06-30,City Controller's Office,61,
113,6833602,36360,2011,Current Projection,Full Year,Auditing,2011-06-30,City Controller's Office,61,
2,95635,2421,2008,Actual,Full Year,Board of Building Standards,2008-06-30,L&I: Board of Building and Standards,29,
1,91313,596,2009,Actual,Full Year,Board of Building Standards,2009-06-30,L&I: Board of Building and Standards,29,
1,61224,0,2010,Actual,Full Year,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,29,
1,71542,0,2011,Adopted Budget,Full Year,Board of Building Standards,2011-06-30,L&I: Board of Building and Standards,29,
1,71542,0,2011,Target Budget,Full Year,Board of Building Standards,2011-06-30,L&I: Board of Building and Standards,29,
1,71542,0,2011,Current Projection,Full Year,Board of Building Standards,2011-06-30,L&I: Board of Building and Standards,29,
6,378707,0,2008,Actual,Full Year,Board of Ethics,2008-06-30,Board of Ethics,45,
