full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
4,182101,874,2011,Actual,Full Year,Atwater Kent Museum,2011-06-30,Atwater Kent Museum,18,Atwater Kent
4,215694,0,2012,Actual,Full Year,Atwater Kent Museum,2012-06-30,Atwater Kent Museum,18,Atwater Kent
4,220143,1937,2013,Actual,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,18,Atwater Kent
4,220674,3044,2014,Adopted Budget,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,18,Atwater Kent
4,223037,3044,2014,Target Budget,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,18,Atwater Kent
3,223037,2333,2014,Current Projection,Full Year,Atwater Kent Museum,2014-06-30,Atwater Kent Museum,18,Atwater Kent
113,6725248,36360,2011,Actual,Full Year,Auditing,2011-06-30,City Controller's Office,61,
111,6600290,58522,2012,Actual,Full Year,Auditing,2012-06-30,City Controller's Office,61,
118,6475510,58829,2013,Actual,Full Year,Auditing,2013-06-30,City Controller's Office,61,
123,7173947,50000,2014,Adopted Budget,Full Year,Auditing,2014-06-30,City Controller's Office,61,
123,7375882,50000,2014,Target Budget,Full Year,Auditing,2014-06-30,City Controller's Office,61,
111,7375882,65036,2014,Current Projection,Full Year,Auditing,2014-06-30,City Controller's Office,61,
8,642747,0,2011,Actual,Full Year,Board of Ethics,2011-06-30,Board of Ethics,45,
8,657532,0,2012,Actual,Full Year,Board of Ethics,2012-06-30,Board of Ethics,45,
8,685698,0,2013,Actual,Full Year,Board of Ethics,2013-06-30,Board of Ethics,45,
12,890000,0,2014,Adopted Budget,Full Year,Board of Ethics,2014-06-30,Board of Ethics,45,
12,897214,0,2014,Target Budget,Full Year,Board of Ethics,2014-06-30,Board of Ethics,45,
9,897214,0,2014,Current Projection,Full Year,Board of Ethics,2014-06-30,Board of Ethics,45,
8,1848725,0,2011,Actual,Full Year,Board of Revision of Taxes,2011-06-30,Board of Revision of Taxes,63,BRT
8,503932,0,2012,Actual,Full Year,Board of Revision of Taxes,2012-06-30,Board of Revision of Taxes,63,BRT
7,1021653,0,2013,Actual,Full Year,Board of Revision of Taxes,2013-06-30,Board of Revision of Taxes,63,BRT
9,874660,0,2014,Adopted Budget,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,63,BRT
11,1181660,0,2014,Target Budget,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,63,BRT
11,1181660,0,2014,Current Projection,Full Year,Board of Revision of Taxes,2014-06-30,Board of Revision of Taxes,63,BRT
95,5320735,859335,2011,Actual,Full Year,City Commissioners,2011-06-30,City Commissioner's Office,73,City Commissioners
91,4948351,756828,2012,Actual,Full Year,City Commissioners,2012-06-30,City Commissioner's Office,73,City Commissioners
90,5166337,1061085,2013,Actual,Full Year,City Commissioners,2013-06-30,City Commissioner's Office,73,City Commissioners
98,5371047,762409,2014,Adopted Budget,Full Year,City Commissioners,2014-06-30,City Commissioner's Office,73,City Commissioners
98,5032142,762409,2014,Target Budget,Full Year,City Commissioners,2014-06-30,City Commissioner's Office,73,City Commissioners
84,5032142,870713,2014,Current Projection,Full Year,City Commissioners,2014-06-30,City Commissioner's Office,73,City Commissioners
182,11603703,0,2011,Actual,Full Year,City Council,2011-06-30,City Council,01,
175,11817917,2559,2012,Actual,Full Year,City Council,2012-06-30,City Council,01,
173,11660823,5866,2013,Actual,Full Year,City Council,2013-06-30,City Council,01,
195,13399124,7500,2014,Adopted Budget,Full Year,City Council,2014-06-30,City Council,01,
195,13399124,7500,2014,Target Budget,Full Year,City Council,2014-06-30,City Council,01,
169,11999124,886,2014,Current Projection,Full Year,City Council,2014-06-30,City Council,01,
33,2129152,0,2011,Actual,Full Year,City Planning Commission,2011-06-30,City Planning Commission,51,
34,2091813,0,2012,Actual,Full Year,City Planning Commission,2012-06-30,City Planning Commission,51,
31,2137171,0,2013,Actual,Full Year,City Planning Commission,2013-06-30,City Planning Commission,51,
33,2152290,0,2014,Adopted Budget,Full Year,City Planning Commission,2014-06-30,City Planning Commission,51,
33,2223363,0,2014,Target Budget,Full Year,City Planning Commission,2014-06-30,City Planning Commission,51,
30,2223363,150,2014,Current Projection,Full Year,City Planning Commission,2014-06-30,City Planning Commission,51,
6,327235,0,2011,Actual,Full Year,City Representative,2011-06-30,Office of the City Representative,41,City Rep
6,328571,0,2012,Actual,Full Year,City Representative,2012-06-30,Office of the City Representative,41,City Rep
8,416871,2190,2013,Actual,Full Year,City Representative,2013-06-30,Office of the City Representative,41,City Rep
7,390185,0,2014,Adopted Budget,Full Year,City Representative,2014-06-30,Office of the City Representative,41,City Rep
7,397478,0,2014,Target Budget,Full Year,City Representative,2014-06-30,Office of the City Representative,41,City Rep
7,397478,2953,2014,Current Projection,Full Year,City Representative,2014-06-30,Office of the City Representative,41,City Rep
13,666050,449,2011,Actual,Full Year,City Treasurer,2011-06-30,Office of the City Treasurer,40,City Treasurer
14,717071,0,2012,Actual,Full Year,City Treasurer,2012-06-30,Office of the City Treasurer,40,City Treasurer
13,755428,0,2013,Actual,Full Year,City Treasurer,2013-06-30,Office of the City Treasurer,40,City Treasurer
14,758592,0,2014,Adopted Budget,Full Year,City Treasurer,2014-06-30,Office of the City Treasurer,40,City Treasurer
14,773975,0,2014,Target Budget,Full Year,City Treasurer,2014-06-30,Office of the City Treasurer,40,City Treasurer
14,773975,0,2014,Current Projection,Full Year,City Treasurer,2014-06-30,Office of the City Treasurer,40,City Treasurer
2,137932,0,2011,Actual,Full Year,Civil Service Commission,2011-06-30,Civil Service Commission,55,
2,136782,0,2012,Actual,Full Year,Civil Service Commission,2012-06-30,Civil Service Commission,55,
2,140785,0,2013,Actual,Full Year,Civil Service Commission,2013-06-30,Civil Service Commission,55,
2,137348,0,2014,Adopted Budget,Full Year,Civil Service Commission,2014-06-30,Civil Service Commission,55,
2,137772,0,2014,Target Budget,Full Year,Civil Service Commission,2014-06-30,Civil Service Commission,55,
2,137772,0,2014,Current Projection,Full Year,Civil Service Commission,2014-06-30,Civil Service Commission,55,
23,1595054,1066,2011,Actual,Full Year,Commerce,2011-06-30,Office of the Director of Commerce,42,Commerce
18,1594665,132,2012,Actual,Full Year,Commerce,2012-06-30,Office of the Director of Commerce,42,Commerce
20,1685843,449,2013,Actual,Full Year,Commerce,2013-06-30,Office of the Director of Commerce,42,Commerce
27,1850054,0,2014,Adopted Budget,Full Year,Commerce,2014-06-30,Office of the Director of Commerce,42,Commerce
27,1878032,500,2014,Target Budget,Full Year,Commerce,2014-06-30,Office of the Director of Commerce,42,Commerce
27,1878032,1850,2014,Current Projection,Full Year,Commerce,2014-06-30,Office of the Director of Commerce,42,Commerce
410,28386002,208293,2011,Actual,Full Year,District Attorney,2011-06-30,District Attorney's Office,69,DAO
414,28495977,278995,2012,Actual,Full Year,District Attorney,2012-06-30,District Attorney's Office,69,DAO
419,29302614,227760,2013,Actual,Full Year,District Attorney,2013-06-30,District Attorney's Office,69,DAO
419,29933823,207436,2014,Adopted Budget,Full Year,District Attorney,2014-06-30,District Attorney's Office,69,DAO
435,30186492,207436,2014,Target Budget,Full Year,District Attorney,2014-06-30,District Attorney's Office,69,DAO
464,30186492,165523,2014,Current Projection,Full Year,District Attorney,2014-06-30,District Attorney's Office,69,DAO
140,8827172,8375,2011,Actual,Full Year,Finance,2011-06-30,Office of the Director of Finance,35,Finance
156,8807264,14580,2012,Actual,Full Year,Finance,2012-06-30,Office of the Director of Finance,35,Finance
163,9084799,25428,2013,Actual,Full Year,Finance,2013-06-30,Office of the Director of Finance,35,Finance
170,8382857,34586,2014,Adopted Budget,Full Year,Finance,2014-06-30,Office of the Director of Finance,35,Finance
170,8460154,34586,2014,Target Budget,Full Year,Finance,2014-06-30,Office of the Director of Finance,35,Finance
170,8060154,38057,2014,Current Projection,Full Year,Finance,2014-06-30,Office of the Director of Finance,35,Finance
2146,174356738,27080170,2011,Actual,Full Year,Fire,2011-06-30,Fire Department,13,Fire
2072,173513212,28017048,2012,Actual,Full Year,Fire,2012-06-30,Fire Department,13,Fire
2125,179819281,33691349,2013,Actual,Full Year,Fire,2013-06-30,Fire Department,13,Fire
