full_time_positions,class_100_total,class_100_ot,fiscal_year,variable,time_period,dept_name_raw,as_of_date,dept_name,dept_code,abbreviation
4,248059,82,2010,Actual,Full Year,Atwater Kent Museum,2010-06-30,Atwater Kent Museum,18,Atwater Kent
4,182101,874,2011,Actual,Full Year,Atwater Kent Museum,2011-06-30,Atwater Kent Museum,18,Atwater Kent
4,215694,0,2012,Actual,Full Year,Atwater Kent Museum,2012-06-30,Atwater Kent Museum,18,Atwater Kent
4,218630,3185,2013,Adopted Budget,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,18,Atwater Kent
4,220163,1957,2013,Target Budget,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,18,Atwater Kent
4,220163,1937,2013,Current Projection,Full Year,Atwater Kent Museum,2013-06-30,Atwater Kent Museum,18,Atwater Kent
120,6886798,43683,2010,Actual,Full Year,Auditing,2010-06-30,City Controller's Office,61,
113,6725248,36360,2011,Actual,Full Year,Auditing,2011-06-30,City Controller's Office,61,
111,6600290,58522,2012,Actual,Full Year,Auditing,2012-06-30,City Controller's Office,61,
124,6927481,0,2013,Adopted Budget,Full Year,Auditing,2013-06-30,City Controller's Office,61,
124,7143036,1576,2013,Target Budget,Full Year,Auditing,2013-06-30,City Controller's Office,61,
118,6643036,58829,2013,Current Projection,Full Year,Auditing,2013-06-30,City Controller's Office,61,
1,61224,0,2010,Actual,Full Year,Board of Building Standards,2010-06-30,L&I: Board of Building and Standards,29,
1,61104,0,2011,Actual,Full Year,Board of Building Standards,2011-06-30,L&I: Board of Building and Standards,29,
1,57935,0,2012,Actual,Full Year,Board of Building Standards,2012-06-30,L&I: Board of Building and Standards,29,
1,70169,0,2013,Adopted Budget,Full Year,Board of Building Standards,2013-06-30,L&I: Board of Building and Standards,29,
1,70941,0,2013,Target Budget,Full Year,Board of Building Standards,2013-06-30,L&I: Board of Building and Standards,29,
1,70941,0,2013,Current Projection,Full Year,Board of Building Standards,2013-06-30,L&I: Board of Building and Standards,29,
7,679563,0,2010,Actual,Full Year,Board of Ethics,2010-06-30,Board of Ethics,45,
8,642747,0,2011,Actual,Full Year,Board of Ethics,2011-06-30,Board of Ethics,45,
8,657532,0,2012,Actual,Full Year,Board of Ethics,2012-06-30,Board of Ethics,45,
11,788000,0,2013,Adopted Budget,Full Year,Board of Ethics,2013-06-30,Board of Ethics,45,
11,798942,0,2013,Target Budget,Full Year,Board of Ethics,2013-06-30,Board of Ethics,45,
8,798942,0,2013,Current Projection,Full Year,Board of Ethics,2013-06-30,Board of Ethics,45,
2,120849,0,2010,Actual,Full Year,Board of L & I Review,2010-06-30,L&I: Board of Review,27,
