category,fiscal_month,amount
payroll,1,87.6
employee_benefits,1,39.1
pension,1,3.7
purchases_of_services,1,22.2
materials_equipment,1,1.5
contributions_indemnities,1,5.7
debt_service_short,1,0.0
debt_service_long,1,8.5
interfund_charges,1,0.3
advances_misc_payments,1,0.0
current_year_appropriation,1,168.6
prior_year_encumbrances,1,46.1
prior_year_vouchers_payable,1,50.2
total_disbursements,1,264.9
payroll,2,106.0
employee_benefits,2,41.1
pension,2,-2.8
purchases_of_services,2,29.6
materials_equipment,2,1.5
contributions_indemnities,2,0.5
debt_service_short,2,0.0
debt_service_long,2,29.7
interfund_charges,2,0.5
advances_misc_payments,2,24.2
current_year_appropriation,2,230.3
prior_year_encumbrances,2,0.0
prior_year_vouchers_payable,2,13.0
total_disbursements,2,243.3
payroll,3,112.7
employee_benefits,3,40.2
pension,3,13.4
purchases_of_services,3,92.6
materials_equipment,3,5.9
contributions_indemnities,3,11.5
debt_service_short,3,0.0
debt_service_long,3,0.0
interfund_charges,3,0.0
advances_misc_payments,3,0.0
current_year_appropriation,3,276.3
prior_year_encumbrances,3,16.5
prior_year_vouchers_payable,3,0.0
total_disbursements,3,292.8
payroll,4,104.1
employee_benefits,4,41.2
pension,4,49.2
purchases_of_services,4,129.4
materials_equipment,4,6.2
contributions_indemnities,4,9.8
debt_service_short,4,0.0
debt_service_long,4,5.0
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,344.9
prior_year_encumbrances,4,36.6
prior_year_vouchers_payable,4,0.0
total_disbursements,4,381.5
payroll,5,104.3
employee_benefits,5,35.9
pension,5,0.0
purchases_of_services,5,99.9
materials_equipment,5,7.3
contributions_indemnities,5,3.5
debt_service_short,5,1.4
debt_service_long,5,3.2
interfund_charges,5,0.0
advances_misc_payments,5,0.0
current_year_appropriation,5,255.6
prior_year_encumbrances,5,16.3
prior_year_vouchers_payable,5,0.0
total_disbursements,5,271.9
payroll,6,130.5
employee_benefits,6,43.7
pension,6,0.0
purchases_of_services,6,77.0
materials_equipment,6,5.9
contributions_indemnities,6,7.0
debt_service_short,6,0.0
debt_service_long,6,7.7
interfund_charges,6,0.0
advances_misc_payments,6,0.0
current_year_appropriation,6,271.8
prior_year_encumbrances,6,18.6
prior_year_vouchers_payable,6,0.0
total_disbursements,6,290.4
payroll,7,104.3
employee_benefits,7,40.7
pension,7,3.7
purchases_of_services,7,87.9
materials_equipment,7,4.9
contributions_indemnities,7,2.6
debt_service_short,7,0.0
debt_service_long,7,12.4
interfund_charges,7,0.0
advances_misc_payments,7,0.0
current_year_appropriation,7,256.6
prior_year_encumbrances,7,8.2
prior_year_vouchers_payable,7,0.0
total_disbursements,7,264.8
payroll,8,105.3
employee_benefits,8,36.0
pension,8,0.0
purchases_of_services,8,86.3
materials_equipment,8,7.1
contributions_indemnities,8,5.5
debt_service_short,8,0.0
debt_service_long,8,7.3
interfund_charges,8,0.0
advances_misc_payments,8,0.0
current_year_appropriation,8,247.6
prior_year_encumbrances,8,3.2
prior_year_vouchers_payable,8,0.0
total_disbursements,8,250.8
payroll,9,131.5
employee_benefits,9,38.5
pension,9,196.2
purchases_of_services,9,99.3
materials_equipment,9,8.0
contributions_indemnities,9,7.7
debt_service_short,9,0.0
debt_service_long,9,3.4
interfund_charges,9,0.0
advances_misc_payments,9,0.0
current_year_appropriation,9,484.6
prior_year_encumbrances,9,5.9
prior_year_vouchers_payable,9,0.0
total_disbursements,9,490.5
payroll,10,104.3
employee_benefits,10,34.8
pension,10,86.7
purchases_of_services,10,81.1
materials_equipment,10,5.5
contributions_indemnities,10,10.1
debt_service_short,10,0.0
debt_service_long,10,6.2
interfund_charges,10,0.0
advances_misc_payments,10,0.0
current_year_appropriation,10,328.7
prior_year_encumbrances,10,3.7
prior_year_vouchers_payable,10,0.0
total_disbursements,10,332.5
payroll,11,108.3
employee_benefits,11,35.8
pension,11,0.0
purchases_of_services,11,91.2
materials_equipment,11,5.8
contributions_indemnities,11,25.7
debt_service_short,11,0.0
debt_service_long,11,14.7
interfund_charges,11,0.0
advances_misc_payments,11,0.0
current_year_appropriation,11,281.5
prior_year_encumbrances,11,3.2
prior_year_vouchers_payable,11,0.0
total_disbursements,11,284.8
payroll,12,132.7
employee_benefits,12,33.7
pension,12,0.0
purchases_of_services,12,73.4
materials_equipment,12,5.8
contributions_indemnities,12,24.1
debt_service_short,12,11.6
debt_service_long,12,10.8
interfund_charges,12,1.4
advances_misc_payments,12,0.8
current_year_appropriation,12,294.3
prior_year_encumbrances,12,2.9
prior_year_vouchers_payable,12,0.0
total_disbursements,12,297.2
payroll,13,1331.6
employee_benefits,13,460.9
pension,13,350.1
purchases_of_services,13,969.9
materials_equipment,13,65.5
contributions_indemnities,13,113.8
debt_service_short,13,13.0
debt_service_long,13,108.9
interfund_charges,13,2.2
advances_misc_payments,13,25.0
current_year_appropriation,13,3440.8
prior_year_encumbrances,13,161.3
prior_year_vouchers_payable,13,63.2
total_disbursements,13,3665.3
