0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2019 YEAR TO DATE,,,,FISCAL YEAR 2019 FULL YEAR,,
DEPARTMENT,FY 2018 UNAUDITED ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Licenses & Inspections,"35,400,379","18,212,778","18,212,778",0,"37,507,876","37,979,690","37,979,690","(471,814)",0
L&I-Board of Building Standards,"67,339","37,567","37,567",0,"75,419","78,574","78,574","(3,155)",0
L&I-Board of L & I Review,"153,135","72,367","72,367",0,"172,720","172,720","172,720",0,0
L&I-Zoning Board of Adjustment,0,0,0,0,0,0,0,0,0
Managing Director's Office,"43,263,090","23,525,956","23,525,956",0,"46,633,137","49,563,917","51,457,908","(4,824,771)","(1,893,991)"
Managing Director-Legal Services,"48,824,041","48,589,541","48,589,541",0,"50,375,841","51,075,841","51,075,841","(700,000)",0
Mayor's Office,"4,097,960","2,552,079","2,552,079",0,"5,316,168","5,528,157","5,528,157","(211,989)",0
Mayor's Office-Scholarships,"170,500","179,000","179,000",0,"200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"2,146,763",0,0,0,"90,000","90,000","90,000",0,0
Mural Arts Program,"1,921,140","271,602","271,602",0,"2,034,016","2,049,602","2,084,602","(50,586)","(35,000)"
Office of Arts and Culture,"4,132,910","4,040,503","4,040,503",0,"4,172,855","4,335,840","4,335,840","(162,985)",0
Office of Behavioral Hith & Intellectual disAbility,"14,683,674","13,646,641","13,646,641",0,"14,202,289","15,532,083","17,561,423","(3,359,134)","(2,029,340)"
Office of the Chief Administrative Officer,"5,894,030","3,312,863","3,312,863",0,"6,619,329","6,668,985","6,668,985","(49,656)",0
Office of Education,"23,073,129","21,590,345","21,590,345",0,"24,949,452","29,510,497","29,510,497","(4,561,045)",0
Office of Homeless Services,"48,016,836","42,190,959","42,190,959",0,"52,761,498","52,940,139","56,816,894","(4,055,396)","(3,876,755)"
Office of Housing and Comm. Development,0,0,0,0,0,0,0,0,0
Office of Human Resources,"5,626,437","2,890,214","2,890,214",0,"6,343,869","6,535,350","6,535,350","(191,481)",0
Office of Innovation and Technology-Base,"61,598,068","33,944,747","33,944,747",0,"65,491,927","66,196,229","66,196,229","(704,302)",0
Office of Innovation and Technology-911,"14,748,137","5,145,643","5,145,643",0,"35,380,008","35,380,008","35,380,008",0,0
Office of the Inspector General,"1,487,259","728,944","728,944",0,"1,636,311","1,680,441","1,680,441","(44,130)",0
Office of Property Assessment,"13,434,758","6,496,816","6,496,816",0,"14,216,425","14,714,490","14,714,490","(498,065)",0
Office of Sustainability,"908,498","470,747","470,747",0,"949,327","963,258","963,258","(13,931)",0
Parks and Recreation,"64,066,064","37,523,096","37,523,096",0,"66,062,181","67,055,661","67,198,713","(1,136,532)","(143,052)"
Planning & Development,"8,216,495","7,164,016","7,164,016",0,"12,811,669","12,973,533","12,973,533","(161,864)",0
Police,"712,744,848","324,409,547","324,409,547",0,"709,492,944","710,165,370","711,140,370","(1,647,426)","(975,000)"
Prisons,"258,968,396","156,660,740","156,660,740",0,"249,371,806","250,152,237","250,152,237","(780,431)",0
Procurement,"4,789,509","2,244,672","2,244,672",0,"4,938,442","5,014,187","5,014,187","(75,745)",0
Public Health,"135,237,848","88,461,866","88,461,866",0,"156,633,875","140,042,886","140,042,886","16,590,989",0
Public Property,"63,077,078","22,097,270","22,097,270",0,"67,881,546","68,581,774","68,581,774","(700,228)",0
Public Property-SEPTA Subsidy,"81,946,000","42,304,000","42,304,000",0,"84,608,000","84,608,000","84,608,000",0,0
Public Property-Space Rentals,"21,553,679","21,144,884","21,144,884",0,"22,457,948","22,457,948","22,457,948",0,0
Public Property-Utilities,"24,580,646","18,701,636","18,701,636",0,"25,008,269","25,008,269","25,008,269",0,0
Records,"4,429,732","2,311,180","2,311,180",0,"4,768,507","4,826,755","4,826,755","(58,248)",0
Register of Wills,"4,126,862","2,019,890","2,019,890",0,"4,438,881","4,438,881","4,438,881",0,0
Revenue,"29,308,141","15,825,425","15,825,425",0,"30,707,541","31,251,491","31,251,491","(543,950)",0
Sheriff,"28,432,276","13,998,927","13,998,927",0,"26,150,422","26,212,604","26,212,604","(62,182)",0
Sinking Fund Commission (Debt Service),"265,503,720","188,808,679","188,808,679",0,"295,032,504","295,032,504","295,032,504",0,0
Streets-Disposal,"40,077,018","36,538,562","36,538,562",0,"39,490,785","42,440,785","42,440,785","(2,950,000)",0
Streets,"112,473,629","48,001,384","48,001,384",0,"102,490,485","104,278,956","104,278,956","(1,788,471)",0
TOTAL GENERAL FUND,"4,402,853,857","2,201,669,063","2,201,669,063",0,"4,725,497,339","4,794,057,834","4,803,376,972","(77,879,633)","(9,319,138)"
