0,1,2,3,4,5,6,7,8,9
,,,YEAR TO DATE,,FISCAL,YEAR 2015,FULL YEAR,,
DEPARTMENT,FY 14 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Labor Relations,"479,327","295,159","289,932","5,227","627,484","640,379","640,379","(12,895)",0
Law,"13,950,019","6,818,396","8,799,386","(1,980,990)","13,422,633","13,636,792","16,067,698","(2,645,065)","(2,430,906)"
Licenses & Inspections,"25,698,409","14,928,450","14,928,450",0,"27,903,338","28,819,158","28,819,158","(915,820)",0
L&I-Board of Building Standards,"62,431","29,657","29,657",0,"72,792","72,792","72,792",0,0
L&I-Board of L & I Review,"133,593","64,836","64,836",0,"164,065","168,000","168,000","(3,935)",0
L&I-Zoning Board of Adjustment,"357,092","185,075","185,075",0,"357,397","378,052","378,052","(20,655)",0
Managing Director's Office,"34,393,911","21,079,905","20,902,571","177,334","34,733,180","35,368,203","35,368,203","(635,023)",0
Managing Director-Legal Services,"40,596,067","41,661,317","41,661,317",0,"41,827,017","42,603,468","42,603,468","(776,451)",0
Mayor's Office,"5,056,447","2,721,948","2,721,748",200,"5,241,881","5,353,310","5,353,310","(111,429)",0
Mayor's Office-Scholarships,"200,000","200,000","199,000","1,000","200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,0,0,0,0,0,"605,000","605,000","(605,000)",0
Mayor's Office of Transportation & Utilities,"708,937","512,145","618,856","(106,711)","788,817","821,442","821,442","(32,625)",0
Mural Arts Program,"1,586,246","1,167,032","1,167,032",0,"1,451,425","1,463,579","1,463,579","(12,154)",0
Office of Arts and Culture,"2,561,549","3,859,886","3,859,886",0,"3,971,288","3,972,593","3,972,593","(1,305)",0
Off. of Behavioral Hlth & Intellectual disAbility,"13,667,907","12,845,776","13,045,828","(200,052)","13,944,680","13,967,356","13,967,356","(22,676)",0
Office of Housing and Comm. Development,"4,060,459","2,524,000","2,524,000",0,"3,020,000","2,570,000","2,570,000","450,000",0
Office of Human Resources,"5,497,266","3,022,366","2,969,619","52,747","6,017,301","6,168,002","6,168,002","(150,701)",0
Office of Innovation and Technology,"64,077,538","45,311,427","37,819,495","7,491,932","82,192,558","82,136,382","82,088,382","104,176","48,000"
Office of the Inspector General,"1,400,719","706,134","783,132","(76,998)","1,524,569","1,561,422","1,561,422","(36,853)",0
Office of Property Assessment,"10,875,784","6,768,755","6,269,192","499,563","14,286,177","13,933,748","13,933,748","352,429",0
Office of Supportive Housing,"45,155,805","38,705,760","39,341,997","(636,237)","43,974,069","45,026,928","45,226,928","(1,252,859)","(200,000)"
Parks and Recreation,"54,366,727","30,680,262","30,680,262",0,"52,591,785","54,095,395","54,095,395","(1,503,610)",0
Police,"607,073,462","288,258,783","288,267,794","(9,011)","592,509,659","613,275,530","613,275,530","(20,765,871)",0
Prisons,"245,813,812","158,367,938","152,834,754","5,533,184","240,801,814","241,021,531","243,521,531","(2,719,717)","(2,500,000)"
Procurement,"4,808,359","2,162,149","2,162,149",0,"4,695,453","4,793,879","4,793,879","(98,426)",0
Public Health,"109,946,985","83,328,462","78,345,929","4,982,533","115,447,367","116,211,670","116,211,670","(764,303)",0
