0,1,2,3,4,5,6
,,,,FULL YEAR,,
DEPARTMENT,FY 14 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Art Museum Subsidy,"2,550,000","2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"277,307","284,719","293,200","293,200","(8,481)",0
Auditing (City Controller's Office),"7,461,087","8,072,137","8,335,478","8,335,478","(263,341)",0
Board of Ethics,"767,906","1,004,854","1,028,580","1,028,580","(23,726)",0
Board of Revision of Taxes,"1,053,347","832,587","1,015,860","1,015,860","(183,273)",0
City Commissioners (Election Board),"8,690,810","9,419,814","9,736,352","9,236,352","183,462","500,000"
City Council,"14,473,677","16,314,559","16,656,700","14,756,700","1,557,859","1,900,000"
City Planning Commission,"2,302,078","2,372,828","2,379,667","2,379,667","(6,839)",0
City Representative,"969,947","1,019,088","1,029,351","1,029,351","(10,263)",0
City Treasurer,"894,143","920,790","942,687","942,687","(21,897)",0
Civil Service Commission (1),"176,380","53,011,268","178,227","178,227","52,833,041",0
Commerce,"2,697,175","2,750,102","7,885,960","7,885,960","(5,135,858)",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"1,294,448","1,294,448","1,294,448","1,294,448",0,0
District Attorney,"32,807,921","34,082,283","35,583,476","35,583,476","(1,501,193)",0
Finance,"19,326,930","18,852,781","19,223,888","18,723,888","128,893","500,000"
Finance-Community College Subsidy,"26,409,207","26,909,207","26,909,207","26,909,207",0,0
Finance - Employee Benefits,"1,194,090,202","1,817,314,257","1,111,659,020","1,111,659,020","705,655,237",0
Unemployment Compensation,"2,857,176","5,080,260","5,080,260","5,080,260",0,0
Employee Disability,"56,043,748","64,103,778","56,000,000","56,000,000","8,103,778",0
Pension Obligation Bonds,"211,014,165","110,413,101","110,413,101","110,413,101",0,0
Pension,"435,378,465","1,167,961,775","465,640,390","465,640,390","702,321,385",0
FICA,"67,451,109","68,825,236","71,092,563","71,092,563","(2,267,327)",0
Flex Cash Payments,"581,845","1,000,000","1,000,000","1,000,000",0,0
Health/Medical,"409,437,520","387,871,657","386,406,492","386,406,492","1,465,165",0
Group Life Insurance,"7,124,743","7,750,000","7,925,193","7,925,193","(175,193)",0
Group Legal,"4,107,181","4,183,450","7,965,388","7,965,388","(3,781,938)",0
Tool Allowance,"94,250","125,000","135,633","135,633","(10,633)",0
Finance-Hero Scholarship Awards,"18,000","25,000","25,000","25,000",0,0
Finance-Indemnities,0,"33,660,000","39,660,000","39,660,000","(6,000,000)",0
Finance-Refunds,"100,000","250,000","250,000","250,000",0,0
Finance-School District Contribution,"114,050,100","69,110,300","69,110,300","69,110,300",0,0
Finance-Witness Fees,"101,452","171,518","171,518","171,518",0,0
Fire,"247,991,912","206,759,668","227,332,346","230,232,346","(23,472,678)","(2,900,000)"
First Judicial District,"108,716,187","106,251,123","109,459,727","109,459,727","(3,208,604)",0
Common Pleas Court,"70,703,180","72,448,315","74,248,315","74,248,315","(1,800,000)",0
Office of Court Administrator,"23,925,430","19,244,540","20,244,540","20,244,540","(1,000,000)",0
Municipal Court,"9,007,920","8,994,459","9,244,459","9,244,459","(250,000)",0
Traffic Court,"5,079,657","5,563,809","5,722,413","5,722,413","(158,604)",0
Fleet Management,"50,062,898","47,808,114","48,840,155","48,840,155","(1,032,041)",0
Fleet Management - Vehicle Purchases,"12,548,186","11,965,000","11,965,000","11,965,000",0,0
Free Library,"35,736,303","38,674,193","40,198,080","40,198,080","(1,523,887)",0
Historical Commission,"349,704","412,330","419,781","419,781","(7,451)",0
Human Relations Commission,"1,783,651","2,099,907","2,116,623","2,116,623","(16,716)",0
Human Services,"100,241,130","99,480,256","102,776,689","102,776,689","(3,296,433)",0
Administration & Management,"7,722,100","10,702,102","10,286,686","10,286,686","415,416",0
Performance Management & Accountability,"1,060,691","1,949,507","1,790,443","1,790,443","159,064",0
Juvenile Justice Services,"35,467,445","35,302,177","25,525,658","25,525,658","9,776,519",0
Children & Youth (Child Welfare),"55,990,894","51,526,470","65,173,902","65,173,902","(13,647,432)",0
Labor Relations,"479,327","627,484","640,379","640,379","(12,895)",0
Law,"13,950,019","13,422,633","16,067,698","15,667,698","(2,245,065)","400,000"
Licenses & Inspections,"25,698,409","27,903,338","28,819,158","28,419,158","(515,820)","400,000"
L&I-Board of Building Standards,"62,431","72,792","72,792","72,792",0,0
L&I-Board of L & I Review,"133,593","164,065","168,000","168,000","(3,935)",0
L&I-Zoning Board of Adjustment,"357,092","357,397","378,052","378,052","(20,655)",0
Managing Director's Office,"34,393,911","34,733,180","35,368,203","34,868,203","(135,023)","500,000"
Managing Director-Legal Services,"40,596,067","41,827,017","42,603,468","42,603,468","(776,451)",0
