0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2021 YEAR TO DATE,,,,FISCAL YEAR 2021 FULL YEAR,,
DEPARTMENT,FY 2020 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Art Museum Subsidy,"2,550,000","1,020,000","1,020,000",0,"2,040,000","2,040,000","2,040,000",0,0
Auditing (City Controller's Office),"9,983,963","7,172,928","7,172,928",0,"9,568,289","9,568,289","9,568,289",0,0
Board of Ethics,"968,750","579,076","579,076",0,"975,196","975,196","975,196",0,0
Board of Revision of Taxes,"1,106,373","764,751","764,751",0,"1,043,214","1,043,214","1,043,214",0,0
City Commissioners (Election Board),"14,183,398","15,973,213","15,973,213",0,"12,297,852","22,044,682","22,044,682","(9,746,830)",0
City Council,"17,406,469","12,383,811","12,383,811",0,"42,282,973","32,211,973","17,486,973","24,796,000","14,725,000"
City Representative,"1,029,060",0,0,0,0,0,0,0,0
City Treasurer,"1,456,308","1,335,822","1,335,822",0,"1,583,938","1,948,938","1,948,938","(365,000)",0
Civil Service Commission,"190,826","138,966","138,966",0,"207,742","207,742","207,742",0,0
Commerce,"10,227,130","2,748,551","2,748,551",0,"3,637,148","3,334,826","3,334,826","302,322",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"5,654,666","2,962,678","2,962,678",0,"3,015,000","3,015,000","3,015,000",0,0
District Attorney,"45,281,660","28,571,552","30,917,239","(2,345,687)","33,376,659","37,631,659","40,431,659","(7,055,000)","(2,800,000)"
Finance,"99,287,977","49,110,796","48,998,876","111,920","38,724,672","62,970,029","65,020,029","(26,295,357)","(2,050,000)"
Finance-Budget Stabilization Reserve,"34,276,000",0,0,0,0,0,0,0,0
Finance-Disability-Reg #32 Payroll,"1,092,451","1,589,086","1,589,086",0,"2,650,000","2,650,000","2,650,000",0,0
Finance-Federal Grant Reserve,0,0,0,0,"25,000,000","25,000,000",0,"25,000,000","25,000,000"
Finance-Community College Subsidy,"36,059,207","29,769,080","29,769,080",0,"44,110,159","44,110,159","44,110,159",0,0
Finance - Employee Benefits *,"1,363,379,632","1,081,593,509","1,081,593,509",0,"1,287,159,003","1,290,884,993","1,302,161,016","(15,002,013)","(11,276,023)"
Unemployment Compensation,"4,687,316","4,783,876","4,783,876",0,"4,080,260","4,080,260","4,080,260",0,0
Employee Disability,"61,343,339","53,778,668","53,778,668",0,"74,028,253","74,028,253","74,028,253",0,0
Pension Obligation Bonds,"110,070,681","35,654,184","35,654,184",0,"34,847,911","34,937,703","28,597,680","6,250,231","6,340,023"
Pension,"606,363,107","598,600,991","598,600,991",0,"587,780,712","591,416,910","591,416,910","(3,636,198)",0
Pension-Sales Tax,"42,731,949",0,0,0,"27,253,908","27,253,908","44,869,954","(17,616,046)","(17,616,046)"
Pension-Plan 10,"344,685","1,159","1,159",0,"300,000","300,000","300,000",0,0
FICA,"80,102,612","63,539,070","63,539,070",0,"84,264,776","84,264,776","84,264,776",0,0
Flex Cash Payments,"911,356","572,579","572,579",0,"800,000","800,000","800,000",0,0
Health/Medical,"443,747,420","316,305,717","316,305,717",0,"459,268,183","459,268,183","459,268,183",0,0
Group Life Insurance,"4,878,548","3,359,914","3,359,914",0,"8,850,000","8,850,000","8,850,000",0,0
Group Legal,"8,010,344","4,817,801","4,817,801",0,"5,535,000","5,535,000","5,535,000",0,0
Tool Allowance,"188,275","179,550","179,550",0,"150,000","150,000","150,000",0,0
Finance-Hero Scholarship Awards,0,0,0,0,"25,000","25,000","25,000",0,0
Finance-Indemnities,"7,238,981","27,729,010","27,729,010",0,"49,246,000","49,246,000","49,246,000",0,0
Finance-Refunds,"11,660","13,186","13,186",0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"227,106,410","189,433,919","189,433,919",0,"252,578,558","252,578,558","252,578,558",0,0
Finance-Witness Fees,"94,904","35,137","35,137",0,"171,518","171,518","171,518",0,0
Fire,"330,899,509","247,712,002","251,157,626","(3,445,624)","315,056,258","339,056,258","339,056,258","(24,000,000)",0
First Judicial District,"116,576,528","84,053,684","84,053,684",0,"116,036,029","116,036,029","116,036,029",0,0
Fleet Management,"46,073,994","32,424,568","32,424,568",0,"46,803,724","46,803,724","46,803,724",0,0
Fleet Management - Vehicle Purchases,"18,274,884","8,207,037","8,207,037",0,"9,797,739","9,797,739","9,797,739",0,0
Free Library,"46,268,851","32,136,939","32,136,939",0,"39,650,733","39,650,733","39,650,733",0,0
Human Relations Commission,"2,332,700","1,708,597","1,708,597",0,"2,422,973","2,422,973","2,422,973",0,0
Human Services,"112,543,973","137,338,793","137,338,793",0,"163,090,633","164,544,253","166,419,253","(3,328,620)","(1,875,000)"
Labor,"2,217,240","1,696,289","1,592,992","103,297","2,839,104","2,839,104","2,749,104","90,000","90,000"
Law,"16,572,642","11,977,748","11,977,748",0,"15,014,106","15,014,106","16,414,106","(1,400,000)","(1,400,000)"
Licenses & Inspections,"38,894,319","25,671,191","25,671,191",0,"38,251,694","38,251,694","38,251,694",0,0
L&I-Board of Building Standards,"79,592","60,618","60,618",0,"82,018","82,018","82,018",0,0
L&I-Board of L & I Review,"136,765","103,324","103,324",0,"176,071","176,071","176,071",0,0
