0,1,2,3,4,5,6
,,,,FISCAL YEAR 2020 FULL YEAR,,
DEPARTMENT,FY 2019 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
Art Museum Subsidy,"2,550,000","2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"250,000",0,0,0,0,0
Auditing (City Controller's Office),"9,051,422","9,384,550","10,034,966","10,044,822","(660,272)","(9,856)"
Board of Ethics,"925,638","1,101,630","1,104,071","1,104,071","(2,441)",0
Board of Revision of Taxes,"978,352","1,060,791","1,060,791","1,063,086","(2,295)","(2,295)"
City Commissioners (Election Board),"16,486,919","12,216,911","12,219,887","12,274,097","(57,186)","(54,210)"
City Council,"16,537,331","17,927,973","18,677,973","18,677,973","(750,000)",0
City Representative,"1,034,100","1,249,695","1,284,721","1,284,721","(35,026)",0
City Treasurer,"1,652,411","1,483,167","1,514,291","1,515,785","(32,618)","(1,494)"
Civil Service Commission,"198,497","204,935","205,336","205,336",(401),0
Commerce,"7,340,303","9,851,361","10,287,560","10,287,560","(436,199)",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"21,242,883","7,671,624","7,671,624","7,671,624",0,0
District Attorney,"42,281,095","38,908,536","42,129,989","42,162,716","(3,254,180)","(32,727)"
Finance,"118,448,910","45,227,334","50,889,899","50,914,842","(5,687,508)","(24,943)"
Finance-Budget Stabilization Reserve,"20,000,000","34,276,000","34,276,000","34,276,000",0,0
Finance-Disability-Reg #32 Payroll,"2,413,758","2,650,000","2,650,000","2,650,000",0,0
Finance-Federal Grant Reserve,0,"55,108,000","18,403,000","18,403,000","36,705,000",0
Finance-Community College Subsidy,"32,409,207","33,759,207","36,059,207","36,059,207","(2,300,000)",0
Finance - Employee Benefits,"1,371,066,396","1,411,963,002","1,408,186,614","1,348,375,045","63,587,957","59,811,569"
Unemployment Compensation,"2,874,875","4,080,260","4,080,260","4,080,260",0,0
Employee Disability,"63,572,955","69,844,607","70,600,000","63,251,352","6,593,255","7,348,648"
Pension Obligation Bonds,"109,793,658","110,158,479","109,794,742","109,794,742","363,737",0
Pension,"590,415,269","584,663,838","580,863,172","580,863,172","3,800,666",0
Pension-Sales Tax,"52,099,331","53,928,969","53,361,793","37,100,852","16,828,117","16,260,941"
Pension-Plan 10,"239,048","300,000","300,000","300,000",0,0
FICA,"81,838,789","84,546,988","84,546,988","80,672,179","3,874,809","3,874,809"
Flex Cash Payments,"623,539","800,000","800,000","800,000",0,0
Health/Medical,"457,038,668","489,978,550","489,978,550","459,978,550","30,000,000","30,000,000"
Group Life Insurance,"7,034,330","8,465,202","8,665,000","7,814,194","651,008","850,806"
Group Legal,"5,427,259","5,049,842","5,049,842","3,573,477","1,476,365","1,476,365"
Tool Allowance,"108,675","146,267","146,267","146,267",0,0
Finance-Hero Scholarship Awards,0,"25,000","25,000","25,000",0,0
Finance-Indemnities,0,"49,246,000","49,246,000","49,246,000",0,0
Finance-Refunds,"18,667","250,000","250,000","250,000",0,0
Finance-School District Contribution,"180,870,541","222,456,410","222,456,410","222,456,410",0,0
