0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2016 YEAR TO DATE,,,,FISCAL YEAR 2016 FULL YEAR,,
DEPARTMENT,FY 2015 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
Art Museum Subsidy,"2,585,000","1,275,000","1,275,000",0,"2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"230,906","164,540","164,540",0,"293,498","293,498","293,498",0,0
Auditing (City Controller's Office),"8,271,589","3,947,961","4,107,961","(160,000)","8,295,335","8,295,335","8,615,335","(320,000)","(320,000)"
Board of Ethics,"898,226","418,447","418,447",0,"1,066,989","1,066,989","1,066,989",0,0
Board of Revision of Taxes,"1,035,977","451,459","451,459",0,"855,554","855,554","855,554",0,0
City Commissioners (Election Board),"9,219,448","4,477,550","4,477,550",0,"9,663,243","9,663,243","9,838,243","(175,000)","(175,000)"
City Council,"14,635,452","7,072,947","7,072,947",0,"41,725,293","16,725,293","16,725,293","25,000,000",0
City Planning Commission,"2,278,413","1,139,069","1,139,069",0,"2,504,778","2,504,778","2,504,778",0,0
City Representative,"1,024,105","179,690","204,690","(25,000)","1,033,931","1,033,931","1,083,931","(50,000)","(50,000)"
City Treasurer,"924,877","573,507","573,507",0,"1,126,357","1,126,357","1,126,357",0,0
Civil Service Commission,"183,692","105,499","105,499",0,"177,937","177,937","177,937",0,0
Commerce,"7,885,115","6,532,216","6,532,216",0,"4,763,346","6,206,024","6,206,024","(1,442,678)",0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"1,294,448",0,0,0,"3,294,448","3,294,448","3,294,448",0,0
District Attorney,"35,561,390","17,571,320","17,571,320",0,"35,482,214","35,482,214","35,482,214",0,0
Finance,"22,318,952","11,501,966","13,801,966","(2,300,000)","17,658,655","17,658,655","19,958,655","(2,300,000)","(2,300,000)"
Finance-Community College Subsidy,"26,909,207","30,309,207","30,309,207",0,"30,309,207","30,309,207","30,309,207",0,0
Finance Employee Benefits,"1,099,541,937","316,013,614","316,013,614",0,"1,172,182,395","1,172,182,395","1,181,231,073","(9,048,678)","(9,048,678)"
Unemployment Compensation,"2,544,017","1,385,595","1,385,595",0,"4,580,260","4,580,260","4,580,260",0,0
Employee Disability,"57,326,888","34,620,332","34,620,332",0,"58,088,800","58,088,800","58,088,800",0,0
Pension Obligation Bonds,"107,746,154","8,962,856","8,962,856",0,"113,270,454","113,270,454","113,270,454",0,0
Pension,"450,522,994","40,512,115","40,512,115",0,"498,430,800","498,430,800","507,479,478","(9,048,678)","(9,048,678)"
FICA,"71,150,707","36,510,793","36,510,793",0,"72,431,454","72,431,454","72,431,454",0,0
Flex Cash Payments,"593,623","594,405","594,405",0,"800,000","800,000","800,000",0,0
Health/Medical,"394,558,639","187,207,265","187,207,265",0,"411,484,132","411,484,132","411,484,132",0,0
Group Life Insurance,"7,285,066","3,775,412","3,775,412",0,"8,100,386","8,100,386","8,100,386",0,0
Group Legal,"7,708,649","2,333,916","2,333,916",0,"4,849,842","4,849,842","4,849,842",0,0
Tool Allowance,"105,200","110,925","110,925",0,"146,267","146,267","146,267",0,0
Finance-Hero Scholarship Awards,"18,000","18,000","18,000",0,"25,000","25,000","25,000",0,0
Finance-Indemnities,0,"19,677,159","19,677,159",0,"38,000,000","38,000,000","38,000,000",0,0
Finance-Refunds,2,0,0,0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"69,110,300","35,000,000","35,000,000",0,"79,184,673","104,184,673","104,184,673","(25,000,000)",0
Finance-Witness Fees,"121,005","49,122","49,122",0,"171,518","171,518","171,518",0,0
Fire,"232,526,640","110,303,362","110,303,362",0,"219,082,796","226,224,624","229,224,624","(10,141,828)","(3,000,000)"
First Judicial District,"117,976,545","53,122,317","53,122,317",0,"110,315,300","110,315,300","110,315,300",0,0
Common Pleas Court,"77,544,657","35,487,931","35,487,931",0,"75.912,492","75,912,492","75,912,492",0,0
Office of Court Administrator,"25,951,524","10,520,604","10,520,604",0,"19,844,540","19,844,540","19,844,540",0,0
Municipal Court,"9,229,450","4,483,094","4,483,094",0,"8,994,459","8,994,459","8,994,459",0,0
Traffic Court,"5,250,914","2,630,688","2,630,688",0,"5,563,809","5,563,809","5,563,809",0,0
Fleet Management,"48,718,467","29,440,519","29,440,519",0,"46,612,500","46,778,465","46,778,465","(165,965)",0
Fleet Management - Vehicle Purchases,"11,946,483","11,881,551","11,881,551",0,"14,965,000","14,965,000","14,965,000",0,0
Free Library,"40,668,870","21,056,424","21,056,424",0,"40,100,988","40,100,988","40,100,988",0,0
Historical Commission,"384,361","160,763","160,763",0,"424,560","424,560","424,560",0,0
Human Relations Commission,"1,823,081","873,272","873,272",0,"2,147,096","2,147,096","2,147,096",0,0
Human Services,"96,543,925","71,452,058","71,452,058",0,"102,729,321","102,729,321","102,729,321",0,0
Administration & Management,"7,536,617","3,799,508","3,799,508",0,"11,209,165","11,209,165","11,209,165",0,0
Performance Management & Accountability,"648,652",0,0,0,"1,841,920","1,841,920","1,841,920",0,0
Juvenile Justice Services,"33,940,901","23,100,173","23,100,173",0,"28,368,540","28,368,540","28,368,540",0,0
Children & Youth (Child Welfare),"54,417,755","44,552,377","44,552,377",0,"61,309,696","61,309,696","61,309,696",0,0
Labor Relations,"667,481","240,687","240,687",0,"572,466","572,466","572,466",0,0
