0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2022 YEAR TO DATE,,,,FISCAL YEAR 2022 FULL YEAR,,
DEPARTMENT,FY 2021 UNAUDITED ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
Art Museum Subsidy,"2,040,000","510,000","510,000",0,"2,040,000","2,040,000","2,040,000",0,0
Auditing (City Controller's Office),"9,824,760","2,070,247","2,070,247",0,"9,853,289","9,853,289","9,853,289",0,0
Board of Ethics,"817,525","186,899","186,899",0,"975,196","975,196","975,196",0,0
Board of Revision of Taxes,"1,049,649","230,106","230,106",0,"1,053,462","1,053,462","1,053,462",0,0
City Commissioners (Election Board),"20,869,965","3,683,650","3,683,650",0,"18,046,852","18,046,852","22,023,052","(3,976,200)","(3,976,200)"
City Council,"17,009,546","3,974,698","3,974,698",0,"18,677,973","18,677,973","18,677,973",0,0
City Treasurer,"1,714,804","903,830","903,830",0,"4,740,997","4,740,997","4,598,767","142,230","142,230"
Civil Service Commission,"170,033","28,254","28,254",0,"25,207,742","25,207,742","118,984,988","(93,777,246)","(93,777,246)"
Commerce,"3,332,692","7,566,439","7,566,439",0,"14,640,094","14,640,094","14,201,544","438,550","438,550"
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000",0,"15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"2,957,678","6,015,000","6,015,000",0,"6,015,000","6,015,000","5,834,550","180,450","180,450"
District Attorney,"42,026,933","10,684,631","10,684,631",0,"40,431,659","40,431,659","41,831,659","(1,400,000)","(1,400,000)"
Finance,"56,370,371","4,710,956","4,710,956",0,"41,126,320","41,126,320","42,964,749","(1,838,429)","(1,838,429)"
Finance-Budget Stabilization Reserve,0,0,0,0,0,0,0,0,0
Finance-Disability-Reg #32 Payroll,"2,167,137","505,300","505,300",0,"2,293,165","2,293,165","2,293,165",0,0
Finance-Recession Reserve and Reopening,0,0,0,0,"75,000,000","75,000,000","42,500,000","32,500,000","32,500,000"
Finance-Community College Subsidy,"41,628,751","48,128,075","48,128,075",0,"48,128,075","48,128,075","48,128,075",0,0
Finance - Employee Benefits *,"1,270,300,692","172,723,948","172,723,948",0,"1,438,592,740","1,438,592,740","1,451,381,742","(12,789,002)","(12,789,002)"
Unemployment Compensation,"2,208,454","369,047","369,047",0,"5,465,975","5,465,975","5,465,975",0,0
Employee Disability,"70,087,502","19,128,141","19,128,141",0,"78,457,582","78,457,582","78,457,582",0,0
Pension Obligation Bonds,"27,849,355","14,888,738","14,888,738",0,"91,659,334","91,659,334","91,240,224","419,110","419,110"
Pension,"580,498,802","(843,418)","(843,418)",0,"634,278,330","634,278,330","636,937,708","(2,659,378)","(2,659,378)"
Pension-Sales Tax,"55,204,374",0,0,0,"48,212,289","48,212,289","58,761,023","(10,548,734)","(10,548,734)"
Pension-Plan 10,"867,102","473,164","473,164",0,"450,000","450,000","450,000",0,0
FICA,"81,513,022","20,356,564","20,356,564",0,"87,771,546","87,771,546","87,771,546",0,0
Flex Cash Payments,"567,761",0,0,0,"1,000,000","1,000,000","1,000,000",0,0
Health/Medical,"440,010,762","116,181,448","116,181,448",0,"476,762,684","476,762,684","476,762,684",0,0
Group Life Insurance,"4,812,435","901,396","901,396",0,"8,850,000","8,850,000","8,850,000",0,0
Group Legal,"6,501,573","1,268,868","1,268,868",0,"5,535,000","5,535,000","5,535,000",0,0
Tool Allowance,"179,550",0,0,0,"150,000","150,000","150,000",0,0
Finance-Hero Scholarship Awards,0,"54,000","54,000",0,"25,000","25,000","25,000",0,0
Finance-Indemnities,"(5,535,036)","7,607,478","7,607,478",0,"49,246,000","49,246,000","49,246,000",0,0
Finance-Refunds,"14,153",890,890,0,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"252,578,558","63,988,300","63,988,300",0,"255,953,201","255,953,201","255,953,201",0,0
Finance-Witness Fees,"31,007","91,085","91,085",0,"171,518","171,518","171,518",0,0
Fire,"344,500,968","74,453,009","74,453,009",0,"361,066,229","361,066,229","358,512,026","2,554,203","2,554,203"
First Judicial District,"114,312,315","27,659,080","27,659,080",0,"116,199,029","116,199,029","117,199,029","(1,000,000)","(1,000,000)"
Fleet Management,"41,916,725","14,614,215","14,614,215",0,"45,346,718","45,346,718","46,346,718","(1,000,000)","(1,000,000)"
Fleet Management - Vehicle Purchases,"13,352,566","8,094,272","8,094,272",0,"9,745,852","9,745,852","9,745,852",0,0
Free Library,"40,116,664","12,490,488","12,490,488",0,"42,786,864","42,786,864","42,975,342","(188,478)","(188,478)"
Human Relations Commission,"2,285,473","484,027","484,027",0,"2,387,728","2,387,728","2,387,728",0,0
Human Services,"154,207,434","105,746,218","105,746,218",0,"178,273,808","178,273,808","179,812,558","(1,538,750)","(1,538,750)"
Labor,"2,377,751","574,313","574,313",0,"3,313,659","3,313,659","3,214,659","99,000","99,000"
Law,"16,219,764","5,461,525","5,461,525",0,"18,947,270","18,947,270","19,047,482","(100,212)","(100,212)"
Licenses & Inspections,"37,334,864","8,256,287","8,256,287",0,"38,934,445","38,934,445","38,684,445","250,000","250,000"
L&I-Board of Building Standards,"85,061","18,999","18,999",0,"82,018","82,018","79,557","2,461","2,461"
L&I-Board of L & I Review,"129,012","35,265","35,265",0,"176,071","176,071","176,071",0,0
