0,1,2,3,4,5,6,7,8,9
,,,FISCAL YEAR 2021 YEAR TO DATE,,,,FISCAL YEAR 2021 FULL YEAR,,
DEPARTMENT,FY 2020 ACTUAL,TARGET BUDGET PLAN,ACTUAL,ACTUAL (OVER) UNDER TARGET BUDGET,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) ADOPTED BUDGET,PROJECTION UNDER TARGET
Managing Director's Office,"106,923,960","42,416,415","42,416,415",0,"70,615,244","121,452,791","128,233,063","(57,617,819)","(6,780,272)"
Managing Director-Legal Services,"50,938,541","50,535,249","50,535,249",0,"50,104,181","50,104,181","50,104,181",0,0
Mayor's Office,"6,137,229","4,536,649","4,536,649",0,"6,463,592","6,746,092","6,780,092","(316,500)","(34,000)"
Mayor's Office-Scholarships,"200,000","185,000","185,000",0,"100,000","200,000","200,000","(100,000)",0
Mayor's Office-Comm. Empowerment & Opp.,"90,500",0,0,0,"45,000","45,000","45,000",0,0
Mural Arts Program,"2,130,112","1,913,566","1,913,566",0,"2,124,562","2,124,562","2,324,562","(200,000)","(200,000)"
Office of Arts and Culture,"4,375,429",0,0,0,0,0,0,0,0
Office of Behavioral Hith & Intellectual disAbility,"15,911,407","15,021,508","15,021,508",0,"15,477,402","15,477,402","15,477,402",0,0
Office of the Chief Administrative Officer,"6,764,845","3,917,054","3,917,054",0,"6,333,779","6,333,779","6,333,779",0,0
Office of Children and Families,"43,088,830","301,236","301,236",0,"418,820","418,820","418,820",0,0
Office of Homeless Services,"60,113,037","33,872,546","34,872,546","(1,000,000)","44,038,587","44,038,587","45,038,587","(1,000,000)","(1,000,000)"
Office of Human Resources,"5,965,201","4,034,819","4,034,819",0,"6,237,735","6,237,735","6,237,735",0,0
Office of Innovation and Technology-Base,"75,977,630","51,609,385","51,609,385",0,"75,795,173","76,317,442","77,317,442","(1,522,269)","(1,000,000)"
Office of Innovation and Technology-911,"19,916,769","24,259,914","24,259,914",0,"53,564,955","53,564,955","53,564,955",0,0
Office of the Inspector General,"1,497,267","982,525","982,525",0,"1,575,681","1,575,681","1,575,681",0,0
Office of Property Assessment,"14,711,421","10,826,842","10,826,842",0,"16,101,293","16,101,293","16,101,293",0,0
Office of Sustainability,"1,225,513","805,764","805,764",0,"1,203,180","1,279,219","1,279,219","(76,039)",0
Parks and Recreation,"64,969,290","36,324,139","36,324,139",0,"54,926,154","55,271,008","55,271,008","(344,854)",0
Planning & Development (1),"18,252,409","12,987,257","12,987,257",0,"8,535,183","14,055,183","16,055,183","(7,520,000)","(2,000,000)"
Police,"774,398,600","516,250,212","516,250,212",0,"727,007,734","727,007,734","727,007,734",0,0
Prisons,"243,998,662","176,299,700","176,299,700",0,"220,169,920","220,419,920","222,163,106","(1,993,186)","(1,743,186)"
Procurement,"5,084,255","3,492,238","3,604,027","(111,789)","4,760,336","4,760,336","7,055,104","(2,294,768)","(2,294,768)"
Public Health,"168,574,970","115,584,246","115,584,246",0,"159,352,985","163,276,794","162,261,794","(2,908,809)","1,015,000"
Public Property,"68,857,821","37,464,832","37,464,832",0,"70,224,341","71,130,878","71,130,878","(906,537)",0
Public Property-SEPTA Subsidy,"86,290,000","63,456,000","63,456,000",0,"84,608,000","84,608,000","84,608,000",0,0
Public Property-Space Rentals,"26,086,731","23,885,873","23,885,873",0,"25,567,715","25,567,715","25,567,715",0,0
Public Property-Utilities,"28,681,562","24,051,437","24,051,437",0,"25,447,623","25,447,623","25,447,623",0,0
Records,"4,221,199","2,672,476","2,672,476",0,"4,004,335","4,004,335","4,004,335",0,0
Register of Wills,"4,891,630","3,151,514","3,151,514",0,"4,221,429","4,221,429","4,358,433","(137,004)","(137,004)"
Revenue,"30,321,874","19,772,320","19,772,320",0,"29,211,398","29,649,398","29,649,398","(438,000)",0
Sheriff,"30,280,459","19,725,368","19,725,368",0,"26,795,874","26,795,874","26,795,874",0,0
Sinking Fund Commission (Debt Service),"266,354,318","251,261,774","251,261,774",0,"282,632,431","282,632,431","282,632,431",0,0
Streets-Disposal,"49,829,681","49,829,800","49,829,800",0,"51,462,580","59,762,580","59,762,580","(8,300,000)",0
Streets,"125,015,648","76,177,105","76,177,105",0,"101,559,775","101,936,058","103,742,783","(2,183,008)","(1,806,725)"
TOTAL GENERAL FUND,"5,036,533,622","3,728,620,624","3,735,308,507","(6,687,883)","4,804,851,000","4,934,147,313","4,929,714,291","(124,863,291)","4,433,022"
