0,1,2,3,4,5,6
,,,,FISCAL YEAR 2016 FULL YEAR,,
DEPARTMENT,FY 2015 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Art Museum Subsidy,"2,585,000","2,550,000","2,550,000","2,550,000",0,0
Atwater Kent Museum,"230,906","293,498","293,498","293,498",0,0
Auditing (City Controller's Office),"8,271,589","8,295,335","8,615,335","8,615,335","(320,000)",0
Board of Ethics,"898,226","1,066,989","1,066,989","1,066,989",0,0
Board of Revision of Taxes,"1,035,977","855,554","855,554","855,554",0,0
City Commissioners (Election Board),"9,219,448","9,663,243","9,838,243","9,838,243","(175,000)",0
City Council,"14,635,452","41,725,293","16,725,293","16,725,293","25,000,000",0
City Planning Commission,"2,278,413","2,504,778","2,504,778","2,504,778",0,0
City Representative,"1,024,105","1,033,931","1,083,931","1,083,931","(50,000)",0
City Treasurer,"924,877","1,126,357","1,126,357","1,126,357",0,0
Civil Service Commission,"183,692","177,937","177,937","177,937",0,0
Commerce,"7,885,115","4,763,346","4,763,346","4,763,346",0,0
Commerce-Convention Center Subsidy,"15,000,000","15,000,000","15,000,000","15,000,000",0,0
Commerce-Economic Stimulus,"1,294,448","3,294,448","3,294,448","3,294,448",0,0
District Attorney,"35,561,390","35,482,214","35,520,792","35,520,792","(38,578)",0
Finance,"22,318,952","17,658,655","19,958,655","19,958,655","(2,300,000)",0
Finance-Community College Subsidy,"26,909,207","30,309,207","30,309,207","30,309,207",0,0
Finance Employee Benefits,"1,099,541,937","1,172,182,395","1,178,626,117","1,178,626,117","(6,443,722)",0
Unemployment Compensation,"2,544,017","4,580,260","4,580,260","4,580,260",0,0
Employee Disability,"57,326,888","58,088,800","58,088,800","58,088,800",0,0
Pension Obligation Bonds,"107,746,154","113,270,454","113,270,454","113,270,454",0,0
Pension,"450,522,994","498,430,800","505,874,522","505,874,522","(7,443,722)",0
FICA,"71,150,707","72,431,454","72,431,454","72,431,454",0,0
Flex Cash Payments,"593,623","800,000","800,000","800,000",0,0
Health/Medical,"394,558,639","411,484,132","410,484,132","410,484,132","1,000,000",0
Group Life Insurance,"7,285,066","8,100,386","8,100,386","8,100,386",0,0
Group Legal,"7,708,649","4,849,842","4,849,842","4,849,842",0,0
Tool Allowance,"105,200","146,267","146,267","146,267",0,0
Finance-Hero Scholarship Awards,"18,000","25,000","25,000","25,000",0,0
Finance-Indemnities,0,"38,000,000","41,200,000","41,200,000","(3,200,000)",0
Finance-Refunds,2,"250,000","250,000","250,000",0,0
Finance-School District Contribution,"69,110,300","79,184,673","104,184,673","104,184,673","(25,000,000)",0
Finance-Witness Fees,"121,005","171,518","171,518","171,518",0,0
Fire,"232,526,640","219,082,796","237,253,000","237,253,000","(18,170,204)",0
First Judicial District,"117,976,545","110,315,300","110,315,300","110,315,300",0,0
Common Pleas Court,"77,544,657","75,912,492","75,912,492","75,912,492",0,0
Office of Court Administrator,"25,951,524","19,844,540","19,844,540","19,844,540",0,0
Municipal Court,"9,229,450","8,994,459","8,994,459","8,994,459",0,0
Traffic Court,"5,250,914","5,563,809","5,563,809","5,563,809",0,0
Fleet Management,"48,718,467","46,612,500","46,778,465","46,778,465","(165,965)",0
Fleet Management - Vehicle Purchases,"11,946,483","14,965,000","14,965,000","14,965,000",0,0
Free Library,"40,668,870","40,100,988","40,100,988","40,100,988",0,0
Historical Commission,"384,361","424,560","424,560","424,560",0,0
Human Relations Commission,"1,823,081","2,147,096","2,147,096","2,147,096",0,0
Human Services,"96,543,925","102,729,321","102,729,321","102,729,321",0,0
Administration & Management,"7,536,617","11,209,165","11,209,165","11,209,165",0,0
Performance Management & Accountability,"648,652","1,841,920","1,841,920","1,841,920",0,0
Juvenile Justice Services,"33,940,901","28,368,540","28,368,540","28,368,540",0,0
Children & Youth (Child Welfare),"54,417,755","61,309,696","61,309,696","61,309,696",0,0
Labor Relations,"667,481","572,466","572,466","572,466",0,0
Law,"15,742,910","14,642,276","14,976,276","14,976,276","(334,000)",0
Licenses & Inspections,"29,811,576","31,476,558","31,476,558","31,476,558",0,0
L&I-Board of Building Standards,"63,025","73,970","73,970","73,970",0,0
L&I-Board of L & I Review,"137,857","167,790","167,790","167,790",0,0
L&I-Zoning Board of Adjustment,"373,802","372,290","372,290","372,290",0,0
Managing Director's Office,"35,106,107","35,595,543","37,025,496","37,025,496","(1,429,953)",0
Managing Director-Legal Services,"42,923,209","43,159,131","44,695,131","44,695,131","(1,536,000)",0
Mayor's Office,"5,000,680","5,031,625","5,031,625","5,031,625",0,0
Mayor's Office-Scholarships,"199,500","200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,"500,000","605,000","1,030,000","1,030,000","(425,000)",0
Mayor's Office of Transportation & Utilities,"798,692","734,270","734,270","734,270",0,0
Mural Arts Program,"1,458,245","1,646,016","1,646,016","1,646,016",0,0
Office of Arts and Culture,"3,968,576","4,172,855","4,172,855","4,172,855",0,0
Off. of Behavioral Hith & Intellectual disAbility,"13,967,356","13,975,576","13,975,576","13,975,576",0,0
Office of Housing and Comm. Development,"2,600,068","3,590,000","3,590,000","3,590,000",0,0
Office of Human Resources,"5,938,890","6,433,623","6,433,623","6,433,623",0,0
Office of Innovation and Technology-Base,"51,917,083","53,379,584","53,867,582","53,867,582","(487,998)",0
Office of Innovation and Technology-911,"11,956,848","30,502,878","30,502,878","30,502,878",0,0
