0,1,2,3,4,5,6
,,,,,,
,,,,FULL YEAR,,
DEPARTMENT,FY 14 ACTUAL,ORIGINAL ADOPTED BUDGET,TARGET BUDGET,CURRENT PROJECTION,CURRENT (OVER) UNDER ADOPTED BUDGET,PROJECTION TARGET
Mayor's Office,"5,056,447","5,241,881","5,353,310","5,353,310","(111,429)",0
Mayor's Office-Scholarships,"200,000","200,000","200,000","200,000",0,0
Mayor's Office-Comm. Empowerment & Opp.,0,0,"605,000","605,000","(605,000)",0
Mayor's Office of Transportation & Utilities,"708,937","788,817","821,442","821,442","(32,625)",0
Mural Arts Program,"1,586,246","1,451,425","1,463,579","1,463,579","(12,154)",0
Office of Arts and Culture,"2,561,549","3,971,288","3,972,593","3,972,593","(1,305)",0
Off. of Behavioral Hlth & Intellectual disAbility,"13,667,907","13,944,680","13,967,356","13,967,356","(22,676)",0
Office of Housing and Comm. Development,"4,060,459","3,020,000","2,570,000","2,570,000","450,000",0
Office of Human Resources,"5,497,266","6,017,301","6,168,002","6,168,002","(150,701)",0
Office of Innovation and Technology,"64,077,538","82,192,558","82,088,382","63,788,382","18,404,176","18,300,000"
Office of the Inspector General,"1,400,719","1,524,569","1,561,422","1,561,422","(36,853)",0
Office of Property Assessment,"10,875,784","14,286,177","13,933,748","12,933,748","1,352,429","1,000,000"
Office of Supportive Housing,"45,155,805","43,974,069","45,226,928","45,226,928","(1,252,859)",0
Parks and Recreation,"54,366,727","52,591,785","54,095,395","54,095,395","(1,503,610)",0
Police,"607,073,462","592,509,659","613,403,272","615,403,272","(22,893,613)","(2,000,000)"
Prisons,"245,813,812","240,801,814","246,597,479","245,597,479","(4,795,665)","1,000,000"
Procurement,"4,808,359","4,695,453","4,793,879","4,793,879","(98,426)",0
Public Health,"109,946,985","115,447,367","116,211,670","114,211,670","1,235,697","2,000,000"
Ambulatory Health Services,"46,670,074","47,297,606","47,261,909","47,261,909","35,697",0
"Early Childhood, Youth & Women's Health","1,255,143","1,776,073","1,976,073","1,576,073","200,000","400,000"
Phila. Nursing Home,"37,225,593","40,398,228","40,398,228","40,398,228",0,0
Environmental Protection Services,"5,776,321","6,561,078","6,761,078","5,961,078","600,000","800,000"
Administration and Support Svcs,"6,998,111","7,464,624","7,564,624","7,164,624","300,000","400,000"
Medical Examiner's Office,"4,061,141","4,244,264","4,244,264","4,044,264","200,000","200,000"
Infectious Disease Control,"6,014,782","5,660,080","5,960,080","5,860,080","(200,000)","100,000"
Chronic Disease Control,"1,945,820","2,045,414","2,045,414","1,945,414","100,000","100,000"
Public Property,"75,641,833","57,716,741","64,247,114","64,247,114","(6,530,373)",0
Public Property-SEPTA Subsidy,"66,016,000","70,415,000","70,415,000","70,415,000",0,0
Public Property-Space Rentals,"19,098,115","20,521,298","20,521,298","20,521,298",0,0
Public Property-Utilities,"30,200,402","30,976,166","30,976,166","30,976,166",0,0
Records,"4,339,865","4,681,789","4,867,565","4,867,565","(185,776)",0
Register of Wills,"3,289,563","3,333,341","3,605,652","3,605,652","(272,311)",0
Revenue,"20,210,851","22,437,070","23,538,869","23,038,869","(601,799)","500,000"
Sheriff,"18,323,205","18,494,646","21,044,201","21,444,201","(2,949,555)","(400,000)"
Sinking Fund Commission (Debt Service),"215,932,309","247,795,565","245,068,442","239,068,442","8,727,123","6,000,000"
Streets-Sanitation,"101,202,698","85,672,103","92,469,955","95,469,955","(9,797,852)","(3,000,000)"
Streets-Transportation,"36,754,656","31,941,321","37,481,321","37,481,321","(5,540,000)",0
Youth Commission,"83,151","140,080","142,296","142,296","(2,216)",0
TOTAL GENERAL FUND,"3,886,563,587","4,524,565,000","3,865,556,406","3,840,856,406","683,708,594","24,700,000"
