name,jul_fy20,jul_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6143251.0,4367130.0,6143251.0,4367130.0,1776121.0,62532749.0,8.95
traffic_fines,316522.0,367286.0,316522.0,367286.0,-50764.0,5483478.0,5.46
payments_in_lieu_of_taxes,288034.0,,288034.0,902600.0,-614566.0,3451966.0,7.7
cable_television,,,,,,22160000.0,0.0
emergency_medical_services,3891189.0,3141217.0,3891189.0,3141217.0,749972.0,36108811.0,9.73
court_related_costs,3267214.0,5320828.0,3267214.0,5320828.0,-2053614.0,43282786.0,7.02
interest_earnings,14228.0,64520.0,14228.0,64520.0,-50292.0,8587772.0,0.17
asset_sales,191077.0,973090.0,191077.0,70490.0,120587.0,34558923.0,0.55
all_other_local_nontaxes,20041912.0,12753968.0,20041912.0,12753968.0,7287944.0,103008088.0,16.29
total_local_nontax_revenue,34153427.0,26988039.0,34153427.0,26988039.0,7165388.0,319174573.0,9.67
