name,mar_fy18,mar_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,7124379.0,8772098.0,46711786.0,43167040.0,3544746.0,15644214.0,74.91
traffic_fines,603936.0,708331.0,3696192.0,3838801.0,-142609.0,3103808.0,54.36
payments_in_lieu_of_taxes,1369110.0,1353900.0,2236732.0,2439320.0,-202588.0,363268.0,86.03
cable_television,,2853785.0,17521406.0,18567751.0,-1046345.0,5714594.0,75.41
emergency_medical_services,12922.0,3357163.0,28124209.0,32157432.0,-4033223.0,14650791.0,65.75
court_related_costs,3741173.0,8187056.0,36711757.0,-14689601.0,51401358.0,5538243.0,86.89
interest_earnings,53551.0,302509.0,3828353.0,3618215.0,210138.0,-1259353.0,149.02
asset_sales,135446.0,105956.0,832207.0,1829762.0,-997555.0,417793.0,66.58
all_other_local_nontaxes,7144663.0,5883518.0,92009362.0,139984741.0,-47975379.0,34829638.0,72.54
total_local_nontax_revenue,20185180.0,31524316.0,231672004.0,230913461.0,758543.0,79002996.0,74.57
