name,nov_fy22,nov_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,57352.0,169770.0,1212864.0,1532943.0,-320078.0,-1212864.0,
other_fines,816870.0,599648.0,4828244.0,3615995.0,1212249.0,-4828244.0,
reimbursements,933377.0,828337.0,16447808.0,11364117.0,5083691.0,-16447808.0,
asset_sales,274399.0,128777.0,1432518.0,491093.0,941425.0,-1432518.0,
payments_in_lieu_of_taxes,,66296.0,1179660.0,1544388.0,-364728.0,-1179660.0,
cable_television,,3289006.0,8082107.0,5057682.0,3024425.0,-8082107.0,
emergency_medical_services,2575971.0,2466552.0,12988621.0,14246305.0,-1257684.0,-12988621.0,
commercial_trash_fee,2254509.0,4181916.0,5125106.0,6017175.0,-892069.0,-5125106.0,
interest_earnings,2509794.0,7942561.0,2877190.0,10143060.0,-7265870.0,,
licenses_and_inspection_fees,8060906.0,5473471.0,29375912.0,25966621.0,3409290.0,-29375912.0,
streets,825152.0,598016.0,6209720.0,4385473.0,1824248.0,-6209720.0,
health,2362358.0,3177465.0,24549154.0,18894197.0,5654957.0,-24549154.0,
sheriff,,,-2920.0,183532.0,-186452.0,2920.0,
records,1363455.0,1685954.0,6273010.0,8130843.0,-1857833.0,-6273010.0,
court_related_costs,640784.0,2361907.0,7446246.0,8277616.0,-831370.0,-7446246.0,
miscellaneous,1237331.0,1723017.0,13336695.0,10460130.0,2876565.0,-13336695.0,
total_local_nontax_revenue,23912258.0,34692695.0,141361935.0,130311169.0,11050766.0,232902065.0,37.77
