name,may_fy21,may_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,339940.0,348848.0,3347354.0,3255203.0,92151.0,,
other_fines,676884.0,262437.0,9587929.0,12494486.0,-2906557.0,,
reimbursements,2090574.0,3718785.0,18850222.0,27335458.0,-8485237.0,,
asset_sales,,,608951.0,1265714.0,-656763.0,,
payments_in_lieu_of_taxes,32627.0,42287.0,4963499.0,5668562.0,-705062.0,,
cable_television,3316422.0,3346321.0,15012651.0,19469786.0,-4457134.0,,
emergency_medical_services,2336967.0,4593941.0,29298395.0,40890316.0,-11591921.0,,
commercial_trash_fee,1454848.0,671622.0,17901990.0,12838436.0,5063554.0,,
interest_earnings,919815.0,1326013.0,13004119.0,14428949.0,-1424830.0,,
licenses_and_inspection_fees,5264817.0,3052443.0,66457245.0,57571773.0,8885473.0,,
streets,1079602.0,811963.0,9963291.0,10225947.0,-262657.0,,
health,4623797.0,7099700.0,55558302.0,61103410.0,-5545108.0,,
sheriff,409.0,,190647.0,10119413.0,-9928766.0,,
records,1805443.0,973396.0,18083575.0,16548389.0,1535187.0,,
court_related_costs,3481604.0,296002.0,19764261.0,20762887.0,-998626.0,,
miscellaneous,13612095.0,6644412.0,34475107.0,23690283.0,10784824.0,,
total_local_nontax_revenue,41035846.0,33188171.0,317067539.0,337669012.0,-20601473.0,42763461.0,88.12
