name,apr_fy17,apr_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5110602.0,6127543.0,48278037.0,44997751.0,3280286.0,6047963.0,88.87
traffic_fines,434933.0,448991.0,4273734.0,5022877.0,-749143.0,2126266.0,66.78
payments_in_lieu_of_taxes,224466.0,211065.0,2663786.0,2724318.0,-60532.0,-63786.0,102.45
cable_television,,,18567751.0,12943404.0,5624347.0,6299249.0,74.67
emergency_medical_services,3628104.0,4375462.0,35785536.0,35352789.0,432747.0,8214464.0,81.33
court_related_costs,4411246.0,4063718.0,39771855.0,37596493.0,2175362.0,1678145.0,95.95
interest_earnings,86898.0,95137.0,3705113.0,5439449.0,-1734336.0,-2205113.0,247.01
asset_sales,,113.0,1829762.0,5095504.0,-3265742.0,224238.0,89.08
all_other_local_nontaxes,8920640.0,10350518.0,98854778.0,96085875.0,2768903.0,14197222.0,87.44
total_local_nontax_revenue,22816889.0,25672547.0,253730352.0,245258460.0,8471892.0,36518648.0,87.42
