name,oct_fy19,oct_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5051315.0,5117875.0,19772858.0,19143341.0,629517.0,39903142.0,33.13
traffic_fines,338964.0,379511.0,1482384.0,1613452.0,-131068.0,5717616.0,20.59
payments_in_lieu_of_taxes,46676.0,380233.0,-27755.0,579664.0,-607419.0,2627755.0,-1.07
cable_television,,,,5974910.0,-5974910.0,24363000.0,0.0
emergency_medical_services,2449563.0,2743818.0,12768935.0,13596057.0,-827122.0,27231065.0,31.92
court_related_costs,2790624.0,3674790.0,17090153.0,16688626.0,401527.0,25909847.0,39.74
interest_earnings,72864.0,106153.0,3936468.0,844563.0,3091905.0,-1167468.0,142.16
asset_sales,,356500.0,,483240.0,-483240.0,1250000.0,0.0
all_other_local_nontaxes,11969522.0,17987047.0,50467126.0,46669208.0,3797918.0,60358874.0,45.54
total_local_nontax_revenue,22719528.0,30745927.0,105490169.0,105593061.0,-102892.0,186193831.0,36.17
