name,oct_fy20,oct_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5270231.0,5051315.0,22510541.0,19772858.0,2737683.0,46165459.0,32.78
traffic_fines,303298.0,338964.0,1424395.0,1482384.0,-57989.0,4375605.0,24.56
payments_in_lieu_of_taxes,90931.0,46676.0,423811.0,-27755.0,451566.0,3316189.0,11.33
cable_television,,,5520539.0,,5520539.0,16639461.0,24.91
emergency_medical_services,158451.0,2449563.0,12743913.0,12768935.0,-25022.0,27256087.0,31.86
court_related_costs,4003692.0,2790624.0,16654665.0,17090153.0,-435488.0,29895335.0,35.78
interest_earnings,117409.0,72864.0,295281.0,3936468.0,-3641187.0,8306719.0,3.43
asset_sales,118760.0,,716125.0,,716125.0,34033875.0,2.06
all_other_local_nontaxes,21477112.0,11969522.0,64289961.0,50467126.0,13822835.0,58760039.0,52.25
total_local_nontax_revenue,31539884.0,22719528.0,124579231.0,105490169.0,19089062.0,228748769.0,35.26
