name,nov_fy18,nov_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4408962.0,3550333.0,23552303.0,20769944.0,2782359.0,35623697.0,39.8
traffic_fines,366815.0,353577.0,1980267.0,1944626.0,35641.0,4819733.0,29.12
payments_in_lieu_of_taxes,,,579664.0,752879.0,-173215.0,2020336.0,22.29
cable_television,5900364.0,5857209.0,11875275.0,11735114.0,140161.0,11360725.0,51.11
emergency_medical_services,3751569.0,3642615.0,17347626.0,18690019.0,-1342393.0,25152374.0,40.82
court_related_costs,3800737.0,3699106.0,20489363.0,19458308.0,1031055.0,21760637.0,48.5
interest_earnings,70572.0,1183362.0,915135.0,1712246.0,-797111.0,784865.0,53.83
asset_sales,104784.0,183.0,588024.0,415338.0,172686.0,14161976.0,3.99
all_other_local_nontaxes,5672453.0,10435148.0,52341661.0,51346100.0,995561.0,61704339.0,45.9
total_local_nontax_revenue,24076256.0,28721533.0,129669318.0,126824574.0,2844744.0,177388682.0,42.23
