name,mar_fy21,mar_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,436048.0,312351.0,2595825.0,2906355.0,-310530.0,,
other_fines,992148.0,628486.0,7835007.0,11573792.0,-3738785.0,,
reimbursements,2566005.0,440635.0,16033387.0,23294303.0,-7260916.0,,
asset_sales,82833.0,26206.0,578680.0,1268914.0,-690234.0,,
payments_in_lieu_of_taxes,2419474.0,950609.0,4731999.0,4272375.0,459624.0,,
cable_television,1778735.0,,11696229.0,16123465.0,-4427236.0,,
emergency_medical_services,2789458.0,3479525.0,23969406.0,32773404.0,-8803998.0,,
commercial_trash_fee,882825.0,646413.0,15720979.0,11975912.0,3745067.0,,
interest_earnings,692851.0,587312.0,9834107.0,10240642.0,-406535.0,,
licenses_and_inspection_fees,7909988.0,6200178.0,54191852.0,52132889.0,2058963.0,,
streets,779318.0,440186.0,8256736.0,9371583.0,-1114847.0,,
health,7082736.0,7350508.0,45001029.0,51166713.0,-6165684.0,,
sheriff,9641.0,2185761.0,190918.0,10119413.0,-9928495.0,,
records,2088896.0,1609780.0,14580440.0,14538552.0,41888.0,,
court_related_costs,1538915.0,1807645.0,14353759.0,20449893.0,-6096134.0,,
miscellaneous,3212717.0,587880.0,19489629.0,16420797.0,3068832.0,,
total_local_nontax_revenue,35262588.0,27253475.0,249059983.0,288629002.0,-39569019.0,98558017.0,71.65
