name,dec_fy21,dec_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,199815.0,275281.0,1732758.0,1984016.0,-251258.0,3067242.0,36.1
other_fines,945048.0,1217174.0,4561043.0,8943244.0,-4382201.0,7563957.0,37.62
reimbursements,-1824628.0,4476491.0,9539489.0,20029152.0,-10489662.0,13323511.0,41.72
asset_sales,,2863.0,491093.0,868372.0,-377279.0,1958907.0,20.04
payments_in_lieu_of_taxes,33848.0,,1578235.0,1757929.0,-179694.0,8031765.0,16.42
cable_television,,,5057682.0,10803265.0,-5745583.0,17324318.0,22.6
emergency_medical_services,1886515.0,3316363.0,16132820.0,23003737.0,-6870917.0,24867180.0,39.35
commercial_trash_fee,4087550.0,3163706.0,10104725.0,8731986.0,1372739.0,6725275.0,60.04
interest_earnings,394496.0,1699017.0,10537556.0,6709563.0,3827993.0,-7895556.0,398.85
licenses_and_inspection_fees,5887553.0,5066963.0,31854174.0,31476195.0,377979.0,36135826.0,46.85
streets,1327908.0,1174879.0,5713380.0,6732794.0,-1019414.0,2931620.0,66.09
health,11240111.0,6433859.0,30134308.0,33816979.0,-3682671.0,39303692.0,43.4
sheriff,-175.0,-20389.0,183356.0,7904606.0,-7721249.0,8766644.0,2.05
records,1613209.0,1745503.0,9744052.0,9446270.0,297782.0,9005948.0,51.97
court_related_costs,1548742.0,2326500.0,9826358.0,14177687.0,-4351329.0,15678642.0,38.53
miscellaneous,1612304.0,2017146.0,12072434.0,11696362.0,376072.0,11837566.0,50.49
total_local_nontax_revenue,28952295.0,32895356.0,159263464.0,198082157.0,-38818693.0,198626536.0,44.5
