name,sep_fy19,sep_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4484170.0,4313148.0,14721542.0,14025466.0,696076.0,44954458.0,24.67
traffic_fines,338542.0,368629.0,1143420.0,1233941.0,-90521.0,6056580.0,15.88
payments_in_lieu_of_taxes,-1059701.0,20050.0,-74321.0,199431.0,-273752.0,2674321.0,-2.86
cable_television,,,,5974910.0,-5974910.0,24363000.0,0.0
emergency_medical_services,3270570.0,3752078.0,10319371.0,10852239.0,-532868.0,29680629.0,25.8
court_related_costs,6556111.0,4617384.0,14433345.0,13013836.0,1419509.0,28566655.0,33.57
interest_earnings,94914.0,451139.0,295748.0,738410.0,-442662.0,2473252.0,10.68
asset_sales,127.0,14490.0,70617.0,126740.0,-56123.0,1179383.0,5.65
all_other_local_nontaxes,10203695.0,7599866.0,38293062.0,28687157.0,9605905.0,72532938.0,34.55
total_local_nontax_revenue,23888428.0,21136784.0,79202784.0,74852130.0,4350654.0,212481216.0,27.15
