name,jul_fy22,jul_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,419659.0,522725.0,419659.0,522725.0,-103065.0,,
other_fines,1096910.0,499118.0,1096910.0,499118.0,597793.0,,
reimbursements,6655072.0,2411089.0,6655072.0,2411089.0,4243983.0,,
asset_sales,471207.0,28600.0,471207.0,28600.0,442607.0,,
payments_in_lieu_of_taxes,1086469.0,458249.0,1086469.0,458249.0,628220.0,,
cable_television,,,,,,,
emergency_medical_services,2777726.0,2979720.0,2777726.0,2979720.0,-201994.0,,
commercial_trash_fee,1019372.0,775245.0,1019372.0,775245.0,244127.0,,
interest_earnings,45425.0,69131.0,45425.0,69131.0,-23706.0,,
licenses_and_inspection_fees,5505065.0,4784700.0,5505065.0,4784700.0,720365.0,,
streets,1480618.0,873086.0,1480618.0,873086.0,607532.0,,
health,8850056.0,4710052.0,8850056.0,4710052.0,4140004.0,,
sheriff,-1800.0,178691.0,-1800.0,178691.0,-180491.0,,
records,1097521.0,1240074.0,1097521.0,1240074.0,-142553.0,,
court_related_costs,1963114.0,1607472.0,1963114.0,1607472.0,355643.0,,
miscellaneous,2326969.0,1695250.0,2326969.0,1695250.0,631719.0,,
total_local_nontax_revenue,34793384.0,22833200.0,34793384.0,22833200.0,11960184.0,329597616.0,9.55
