name,nov_fy21,nov_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,169770.0,284341.0,1532943.0,1708736.0,-175793.0,,
other_fines,599648.0,2014392.0,3615995.0,7726070.0,-4110075.0,,
reimbursements,828337.0,-856351.0,11364117.0,15552660.0,-4188544.0,,
asset_sales,128777.0,149385.0,491093.0,865509.0,-374416.0,,
payments_in_lieu_of_taxes,66296.0,17224.0,1544388.0,1757929.0,-213542.0,,
cable_television,3289006.0,5282725.0,5057682.0,10803265.0,-5745583.0,,
emergency_medical_services,2466552.0,6943461.0,14246305.0,19687374.0,-5441069.0,,
commercial_trash_fee,4181916.0,3211980.0,6017175.0,5568280.0,448895.0,,
interest_earnings,7942561.0,4715264.0,10143060.0,5010546.0,5132514.0,,
licenses_and_inspection_fees,5473471.0,4961603.0,25966621.0,26409232.0,-442611.0,,
streets,598016.0,496137.0,4385473.0,5557915.0,-1172442.0,,
health,3177465.0,5531303.0,18894197.0,27383120.0,-8488923.0,,
sheriff,,40026.0,183532.0,7924995.0,-7741463.0,,
records,1685954.0,1356036.0,8130843.0,7700767.0,430076.0,,
court_related_costs,2361907.0,2440078.0,8277616.0,11851187.0,-3573572.0,,
miscellaneous,1723017.0,4019967.0,10460130.0,9679216.0,780914.0,,
total_local_nontax_revenue,34692695.0,40607571.0,130311169.0,165186801.0,-34875632.0,227578831.0,36.41
