name,apr_fy21,apr_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,411588.0,,3007414.0,2906355.0,101059.0,,
other_fines,1104189.0,658257.0,8911045.0,12232050.0,-3321005.0,,
reimbursements,726262.0,322370.0,16759648.0,23616673.0,-6857025.0,,
asset_sales,30271.0,-3200.0,608951.0,1265714.0,-656763.0,,
payments_in_lieu_of_taxes,198873.0,1353900.0,4930872.0,5626275.0,-695403.0,,
cable_television,,,11696229.0,16123465.0,-4427236.0,,
emergency_medical_services,2992022.0,3522971.0,26961428.0,36296375.0,-9334947.0,,
commercial_trash_fee,728372.0,190902.0,16447142.0,12166814.0,4280329.0,,
interest_earnings,2250198.0,2862294.0,12084305.0,13102936.0,-1018631.0,,
licenses_and_inspection_fees,7023932.0,2386441.0,61192428.0,54519330.0,6673098.0,,
streets,626962.0,42401.0,8883689.0,9413984.0,-530296.0,,
health,5933908.0,2836996.0,50934505.0,54003710.0,-3069205.0,,
sheriff,-680.0,,190238.0,10119413.0,-9929175.0,,
records,1698169.0,1036440.0,16278132.0,15574992.0,703140.0,,
court_related_costs,1928898.0,16992.0,16282657.0,20466885.0,-4184228.0,,
miscellaneous,1388500.0,625077.0,20862276.0,17045871.0,3816405.0,,
total_local_nontax_revenue,27041462.0,15851840.0,276030958.0,304480842.0,-28449884.0,83800042.0,76.71
