name,oct_fy18,oct_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5117875.0,4169518.0,19143341.0,17219180.0,1924161.0,40032659.0,32.35
traffic_fines,379511.0,358396.0,1613452.0,1591049.0,22403.0,5186548.0,23.73
payments_in_lieu_of_taxes,380233.0,376594.0,579664.0,752879.0,-173215.0,2020336.0,22.29
cable_television,,,5974910.0,5877906.0,97004.0,17261090.0,25.71
emergency_medical_services,2743818.0,3274204.0,13596057.0,15047404.0,-1451347.0,28903943.0,31.99
court_related_costs,3674790.0,3824017.0,16688626.0,15759201.0,929425.0,25561374.0,39.5
interest_earnings,106153.0,49568.0,844563.0,528882.0,315681.0,855437.0,49.68
asset_sales,356500.0,212749.0,483240.0,415155.0,68085.0,14266760.0,3.28
all_other_local_nontaxes,17987047.0,9407704.0,46669208.0,40911386.0,5757822.0,67376792.0,40.92
total_local_nontax_revenue,30745927.0,21672750.0,105593061.0,98103042.0,7490019.0,201464939.0,34.39
