name,apr_fy19,apr_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,7330153.0,5335792.0,59822840.0,64713201.0,-4890361.0,-146840.0,100.25
traffic_fines,395623.0,424600.0,3922669.0,4120792.0,-198123.0,3277331.0,54.48
payments_in_lieu_of_taxes,438485.0,1598750.0,2889029.0,3835482.0,-946453.0,-289029.0,111.12
cable_television,,,16551450.0,17521406.0,-969956.0,7811550.0,67.94
emergency_medical_services,2806001.0,6086732.0,31766242.0,34210941.0,-2444699.0,8233758.0,79.42
court_related_costs,5238252.0,15156050.0,54217926.0,50249061.0,3968865.0,-11217926.0,126.09
interest_earnings,2164896.0,-736331.0,12894973.0,3092022.0,9802951.0,-10125973.0,465.69
asset_sales,,553435.0,957906.0,1385642.0,-427736.0,292094.0,76.63
all_other_local_nontaxes,12113974.0,-1813852.0,94618795.0,79148639.0,15470156.0,16207205.0,85.38
total_local_nontax_revenue,30487384.0,26605176.0,277641830.0,258277186.0,19364644.0,14042170.0,95.19
