name,aug_fy19,aug_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5870243.0,5577006.0,10237372.0,9712318.0,525054.0,49438628.0,17.15
traffic_fines,437592.0,474378.0,804878.0,865312.0,-60434.0,6395122.0,11.18
payments_in_lieu_of_taxes,82780.0,30000.0,985380.0,179381.0,805999.0,1614620.0,37.9
cable_television,,5587910.0,3351826.0,5974910.0,-2623084.0,21011174.0,13.76
emergency_medical_services,3907585.0,3261045.0,7048801.0,7100161.0,-51360.0,32951199.0,17.62
court_related_costs,4050131.0,4571216.0,9370959.0,8396453.0,974506.0,33629041.0,21.79
interest_earnings,136313.0,155086.0,200833.0,287270.0,-86437.0,2568167.0,7.25
asset_sales,,356.0,70490.0,112250.0,-41760.0,1179510.0,5.64
all_other_local_nontaxes,13841672.0,9785258.0,24737544.0,21095952.0,3641592.0,86088456.0,22.32
total_local_nontax_revenue,28326316.0,29442255.0,56808083.0,53724007.0,3084076.0,234875917.0,19.48
