name,sep_fy22,sep_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,279823.0,197436.0,936904.0,1135482.0,-198579.0,,
other_fines,659328.0,758524.0,3227155.0,2168183.0,1058971.0,,
reimbursements,3743968.0,1875737.0,13949202.0,8057701.0,5891501.0,,
asset_sales,65296.0,,1158119.0,28600.0,1129519.0,,
payments_in_lieu_of_taxes,,29334.0,1179660.0,657020.0,522640.0,,
cable_television,,,8082107.0,,8082107.0,,
emergency_medical_services,2382712.0,3353428.0,7508407.0,8973621.0,-1465214.0,,
commercial_trash_fee,609755.0,322113.0,2153407.0,1433804.0,719603.0,,
interest_earnings,648340.0,3138149.0,308984.0,3339262.0,-3030278.0,,
licenses_and_inspection_fees,4762254.0,5468142.0,16316749.0,14524890.0,1791859.0,,
streets,2238207.0,1133839.0,4716101.0,3374257.0,1341844.0,,
health,4441147.0,5057590.0,17450843.0,11918445.0,5532398.0,,
sheriff,-1120.0,3649.0,-2920.0,183532.0,-186452.0,,
records,1259336.0,1675859.0,3767481.0,4672143.0,-904662.0,,
court_related_costs,2180915.0,1469662.0,5159206.0,4577046.0,582161.0,,
miscellaneous,2410867.0,4004990.0,6982356.0,7101162.0,-118806.0,,
total_local_nontax_revenue,25680828.0,28488452.0,92893761.0,72145149.0,20748612.0,271497239.0,25.49
