name,feb_fy17,feb_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,7061843.0,6489287.0,34395337.0,32004299.0,2391038.0,19930663.0,63.31
traffic_fines,399386.0,542274.0,3130470.0,3915731.0,-785261.0,3269530.0,48.91
payments_in_lieu_of_taxes,32488.0,30000.0,1080885.0,1102883.0,-21998.0,1519115.0,41.57
cable_television,3978851.0,,15713966.0,11298040.0,4415926.0,9153034.0,63.19
emergency_medical_services,3053860.0,3376809.0,28800269.0,,28800269.0,10199731.0,73.85
court_related_costs,3963016.0,3283133.0,30730822.0,29605996.0,1124826.0,11069178.0,73.52
interest_earnings,100188.0,42500.0,3315707.0,5292840.0,-1977133.0,-1815707.0,221.05
asset_sales,1150352.0,,1723805.0,5095391.0,-3371586.0,3526195.0,32.83
all_other_local_nontaxes,2736130.0,4447572.0,80493348.0,104437607.0,-23944259.0,31054652.0,72.16
total_local_nontax_revenue,22476114.0,18211575.0,199384609.0,192752787.0,6631822.0,87906391.0,69.4
