name,oct_fy17,oct_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4169518.0,3954393.0,17219180.0,15907048.0,1312132.0,37106820.0,31.7
traffic_fines,358396.0,550988.0,1591049.0,2127488.0,-536439.0,4808951.0,24.86
payments_in_lieu_of_taxes,376594.0,419692.0,752879.0,777639.0,-24760.0,1847121.0,28.96
cable_television,,,5877906.0,5760233.0,117673.0,18989094.0,23.64
emergency_medical_services,3274204.0,2964120.0,15047404.0,12434220.0,2613184.0,23952596.0,38.58
court_related_costs,3824017.0,3583079.0,15759201.0,15266708.0,492493.0,26040799.0,37.7
interest_earnings,49568.0,-61453.0,528882.0,3021404.0,-2492522.0,971118.0,35.26
asset_sales,212749.0,1267957.0,415155.0,3923590.0,-3508435.0,4834845.0,7.91
all_other_local_nontaxes,9407704.0,8513132.0,40910956.0,39330876.0,1580080.0,70637044.0,36.68
total_local_nontax_revenue,21672750.0,21191908.0,98102612.0,98549206.0,-446594.0,189188388.0,34.15
