name,feb_fy21,feb_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,203342.0,284715.0,2159778.0,2594004.0,-434226.0,,
other_fines,1454962.0,1046426.0,6842859.0,10945307.0,-4102448.0,,
reimbursements,-505182.0,3064709.0,13467382.0,22853668.0,-9386286.0,,
asset_sales,4755.0,374336.0,495848.0,1242708.0,-746860.0,,
payments_in_lieu_of_taxes,734290.0,813162.0,2312525.0,3321766.0,-1009241.0,,
cable_television,4859812.0,5320200.0,9917494.0,16123465.0,-6205971.0,,
emergency_medical_services,2384681.0,2859052.0,21179948.0,29293879.0,-8113931.0,,
commercial_trash_fee,1008994.0,685225.0,14838153.0,11329498.0,3508655.0,,
interest_earnings,-364652.0,1038186.0,9141256.0,9653329.0,-512073.0,,
licenses_and_inspection_fees,8423037.0,8822874.0,46281865.0,45932711.0,349154.0,,
streets,1451172.0,1552509.0,7477419.0,8931398.0,-1453979.0,,
health,7166815.0,3474085.0,37918293.0,43816207.0,-5897914.0,,
sheriff,,19912.0,181277.0,7933652.0,-7752376.0,,
records,1282893.0,1328653.0,12491543.0,12928772.0,-437229.0,,
court_related_costs,1596404.0,2418332.0,12814844.0,18642248.0,-5827404.0,,
miscellaneous,1643827.0,2179497.0,16276913.0,15832912.0,444001.0,,
total_local_nontax_revenue,31345151.0,35281872.0,213797396.0,261375525.0,-47578130.0,133820604.0,61.5
