category,fiscal_month,amount
payroll,1,60.0
employee_benefits,1,37.7
pension,1,3.7
purchases_of_services,1,23.9
materials_equipment,1,5.8
contributions_indemnities,1,16.1
debt_service_short,1,0.0
debt_service_long,1,6.1
interfund_charges,1,0.0
advances_misc_payments,1,32.3
current_year_appropriation,1,185.6
prior_year_encumbrances,1,60.3
prior_year_vouchers_payable,1,67.9
total_disbursements,1,313.9
payroll,2,151.2
employee_benefits,2,45.2
pension,2,363.0
purchases_of_services,2,73.0
materials_equipment,2,6.5
contributions_indemnities,2,5.3
debt_service_short,2,0.0
debt_service_long,2,2.3
interfund_charges,2,0.0
advances_misc_payments,2,0.0
current_year_appropriation,2,646.5
prior_year_encumbrances,2,37.7
prior_year_vouchers_payable,2,46.3
total_disbursements,2,730.5
payroll,3,105.8
employee_benefits,3,35.8
pension,3,-2.6
purchases_of_services,3,82.6
materials_equipment,3,6.8
contributions_indemnities,3,7.8
debt_service_short,3,0.0
debt_service_long,3,18.8
interfund_charges,3,0.0
advances_misc_payments,3,0.0
current_year_appropriation,3,255.0
prior_year_encumbrances,3,12.3
prior_year_vouchers_payable,3,11.9
total_disbursements,3,279.2
payroll,4,105.3
employee_benefits,4,37.5
pension,4,8.0
purchases_of_services,4,101.7
materials_equipment,4,4.7
contributions_indemnities,4,0.3
debt_service_short,4,0.0
debt_service_long,4,0.7
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,258.3
prior_year_encumbrances,4,8.0
prior_year_vouchers_payable,4,0.8
total_disbursements,4,267.0
payroll,5,112.6
employee_benefits,5,37.3
pension,5,-2.1
purchases_of_services,5,79.4
materials_equipment,5,5.6
contributions_indemnities,5,3.1
debt_service_short,5,0.0
debt_service_long,5,7.9
interfund_charges,5,0.0
advances_misc_payments,5,0.0
current_year_appropriation,5,243.8
prior_year_encumbrances,5,3.4
prior_year_vouchers_payable,5,0.3
total_disbursements,5,247.5
payroll,6,103.4
employee_benefits,6,46.3
pension,6,-1.9
purchases_of_services,6,81.5
materials_equipment,6,5.4
contributions_indemnities,6,6.3
debt_service_short,6,0.0
debt_service_long,6,2.8
interfund_charges,6,0.0
advances_misc_payments,6,0.0
current_year_appropriation,6,243.8
prior_year_encumbrances,6,3.6
prior_year_vouchers_payable,6,0.0
total_disbursements,6,247.5
payroll,7,153.9
employee_benefits,7,51.7
pension,7,1.4
purchases_of_services,7,99.9
materials_equipment,7,5.4
contributions_indemnities,7,0.7
debt_service_short,7,0.0
debt_service_long,7,6.6
interfund_charges,7,0.0
advances_misc_payments,7,0.0
current_year_appropriation,7,319.6
prior_year_encumbrances,7,4.5
prior_year_vouchers_payable,7,0.0
total_disbursements,7,324.2
payroll,8,101.5
employee_benefits,8,36.6
pension,8,-1.7
purchases_of_services,8,67.3
materials_equipment,8,6.1
contributions_indemnities,8,5.3
debt_service_short,8,0.0
debt_service_long,8,6.6
interfund_charges,8,0.0
advances_misc_payments,8,0.0
current_year_appropriation,8,221.7
prior_year_encumbrances,8,4.8
prior_year_vouchers_payable,8,0.0
total_disbursements,8,226.4
payroll,9,105.4
employee_benefits,9,46.6
pension,9,-1.6
purchases_of_services,9,107.3
materials_equipment,9,6.8
contributions_indemnities,9,0.4
debt_service_short,9,0.0
debt_service_long,9,18.1
interfund_charges,9,-1.4
advances_misc_payments,9,0.0
current_year_appropriation,9,281.8
prior_year_encumbrances,9,4.7
prior_year_vouchers_payable,9,0.0
total_disbursements,9,286.4
payroll,10,95.0
employee_benefits,10,34.6
pension,10,58.7
purchases_of_services,10,83.2
materials_equipment,10,6.4
contributions_indemnities,10,8.1
debt_service_short,10,0.0
debt_service_long,10,3.6
interfund_charges,10,0.0
advances_misc_payments,10,0.0
current_year_appropriation,10,289.7
prior_year_encumbrances,10,5.3
prior_year_vouchers_payable,10,0.0
total_disbursements,10,294.9
payroll,11,113.0
employee_benefits,11,40.0
pension,11,-1.7
purchases_of_services,11,123.1
materials_equipment,11,6.1
contributions_indemnities,11,40.3
debt_service_short,11,0.0
debt_service_long,11,14.0
interfund_charges,11,0.0
advances_misc_payments,11,0.0
current_year_appropriation,11,334.8
prior_year_encumbrances,11,4.3
prior_year_vouchers_payable,11,0.0
total_disbursements,11,339.2
payroll,12,151.0
employee_benefits,12,31.6
pension,12,13.5
purchases_of_services,12,87.3
materials_equipment,12,2.5
contributions_indemnities,12,18.3
debt_service_short,12,10.0
debt_service_long,12,1.4
interfund_charges,12,32.2
advances_misc_payments,12,0.0
current_year_appropriation,12,347.9
prior_year_encumbrances,12,4.5
prior_year_vouchers_payable,12,0.0
total_disbursements,12,352.4
payroll,13,1358.1
employee_benefits,13,480.9
pension,13,436.7
purchases_of_services,13,1010.2
materials_equipment,13,68.2
contributions_indemnities,13,112.1
debt_service_short,13,10.0
debt_service_long,13,89.1
interfund_charges,13,30.9
advances_misc_payments,13,32.3
current_year_appropriation,13,3628.4
prior_year_encumbrances,13,153.5
prior_year_vouchers_payable,13,127.2
total_disbursements,13,3909.1
