category,fiscal_month,amount
payroll,1,77.3
employee_benefits,1,42.8
pension,1,3.5
purchases_of_services,1,51.3
materials_equipment,1,4.3
contributions_indemnities,1,10.6
debt_service_short,1,0.0
debt_service_long,1,106.6
interfund_charges,1,34.6
advances_misc_payments,1,0.0
current_year_appropriation,1,330.8
prior_year_encumbrances,1,44.2
prior_year_vouchers_payable,1,43.2
total_disbursements,1,418.2
payroll,2,198.1
employee_benefits,2,51.0
pension,2,-0.6
purchases_of_services,2,50.3
materials_equipment,2,4.1
contributions_indemnities,2,72.0
debt_service_short,2,0.0
debt_service_long,2,10.4
interfund_charges,2,10.0
advances_misc_payments,2,0.0
current_year_appropriation,2,395.3
prior_year_encumbrances,2,36.0
prior_year_vouchers_payable,2,-64.3
total_disbursements,2,367.0
payroll,3,100.3
employee_benefits,3,55.7
pension,3,10.7
purchases_of_services,3,77.0
materials_equipment,3,4.7
contributions_indemnities,3,4.8
debt_service_short,3,0.1
debt_service_long,3,0.0
interfund_charges,3,0.0
advances_misc_payments,3,0.0
current_year_appropriation,3,253.3
prior_year_encumbrances,3,23.7
prior_year_vouchers_payable,3,60.2
total_disbursements,3,337.2
payroll,4,143.6
employee_benefits,4,48.9
pension,4,81.5
purchases_of_services,4,78.8
materials_equipment,4,10.8
contributions_indemnities,4,16.2
debt_service_short,4,0.0
debt_service_long,4,0.0
interfund_charges,4,0.0
advances_misc_payments,4,0.0
current_year_appropriation,4,379.8
prior_year_encumbrances,4,14.0
prior_year_vouchers_payable,4,89.3
total_disbursements,4,483.1
payroll,5,192.6
employee_benefits,5,55.4
pension,5,-5.5
purchases_of_services,5,60.0
materials_equipment,5,8.7
contributions_indemnities,5,58.9
debt_service_short,5,0.0
debt_service_long,5,0.2
interfund_charges,5,0.0
advances_misc_payments,5,6.9
current_year_appropriation,5,377.3
prior_year_encumbrances,5,17.7
prior_year_vouchers_payable,5,0.0
total_disbursements,5,394.9
payroll,6,139.5
employee_benefits,6,50.5
pension,6,-2.3
purchases_of_services,6,78.7
materials_equipment,6,9.4
contributions_indemnities,6,12.6
debt_service_short,6,0.0
debt_service_long,6,0.2
interfund_charges,6,13.3
advances_misc_payments,6,6.9
current_year_appropriation,6,308.8
prior_year_encumbrances,6,24.9
prior_year_vouchers_payable,6,0.0
total_disbursements,6,333.7
payroll,7,202.6
employee_benefits,7,72.7
pension,7,-5.3
purchases_of_services,7,56.4
materials_equipment,7,9.4
contributions_indemnities,7,6.0
debt_service_short,7,0.1
debt_service_long,7,7.1
interfund_charges,7,0.2
advances_misc_payments,7,6.9
current_year_appropriation,7,356.1
prior_year_encumbrances,7,11.0
prior_year_vouchers_payable,7,0.0
total_disbursements,7,367.2
payroll,8,138.8
employee_benefits,8,50.3
pension,8,-2.7
purchases_of_services,8,58.0
materials_equipment,8,8.6
contributions_indemnities,8,56.6
debt_service_short,8,0.0
debt_service_long,8,56.0
interfund_charges,8,3.2
advances_misc_payments,8,6.9
current_year_appropriation,8,375.8
prior_year_encumbrances,8,7.1
prior_year_vouchers_payable,8,0.0
total_disbursements,8,382.8
payroll,9,139.5
employee_benefits,9,50.5
pension,9,609.4
purchases_of_services,9,82.6
materials_equipment,9,10.8
contributions_indemnities,9,11.6
debt_service_short,9,0.0
debt_service_long,9,0.4
interfund_charges,9,0.0
advances_misc_payments,9,6.9
current_year_appropriation,9,911.9
prior_year_encumbrances,9,4.6
prior_year_vouchers_payable,9,0.0
total_disbursements,9,916.4
payroll,10,139.5
employee_benefits,10,50.5
pension,10,-3.0
purchases_of_services,10,79.8
materials_equipment,10,9.7
contributions_indemnities,10,5.0
debt_service_short,10,0.0
debt_service_long,10,0.2
interfund_charges,10,4.2
advances_misc_payments,10,6.9
current_year_appropriation,10,292.8
prior_year_encumbrances,10,4.1
prior_year_vouchers_payable,10,0.0
total_disbursements,10,296.9
payroll,11,152.6
employee_benefits,11,55.4
pension,11,-2.2
purchases_of_services,11,89.5
materials_equipment,11,9.1
contributions_indemnities,11,64.1
debt_service_short,11,0.0
debt_service_long,11,0.2
interfund_charges,11,0.5
advances_misc_payments,11,6.9
current_year_appropriation,11,376.1
prior_year_encumbrances,11,1.7
prior_year_vouchers_payable,11,0.0
total_disbursements,11,377.8
payroll,12,143.9
employee_benefits,12,52.2
pension,12,-1.8
purchases_of_services,12,71.1
materials_equipment,12,12.0
contributions_indemnities,12,13.4
debt_service_short,12,5.8
debt_service_long,12,0.2
interfund_charges,12,20.1
advances_misc_payments,12,31.9
current_year_appropriation,12,348.7
prior_year_encumbrances,12,1.8
prior_year_vouchers_payable,12,0.0
total_disbursements,12,350.5
payroll,13,1768.2
employee_benefits,13,635.9
pension,13,681.8
purchases_of_services,13,833.5
materials_equipment,13,101.7
contributions_indemnities,13,331.7
debt_service_short,13,6.1
debt_service_long,13,181.4
interfund_charges,13,86.2
advances_misc_payments,13,80.1
current_year_appropriation,13,4706.6
prior_year_encumbrances,13,190.8
prior_year_vouchers_payable,13,128.5
total_disbursements,13,5025.9
