sector,parent_sector,year,fiscal_year,fiscal_quarter,total,date
Wholesale Trade,,2022,2023,2,11833884.0,2022-10-01
Hotels,,2022,2023,2,3307722.0,2022-10-01
Food & Beverage Products,Manufacturing,2022,2023,2,5921946.0,2022-10-01
Nursing & Personal Care Facilities,Health and Social Services,2022,2023,2,11018973.0,2022-10-01
"Real Estate, Rental and Leasing",,2022,2023,2,8139785.0,2022-10-01
Construction,,2022,2023,2,19607294.0,2022-10-01
State Government (PA),Government,2022,2023,2,3527082.0,2022-10-01
Government,,2022,2023,2,67723493.0,2022-10-01
Miscellaneous Sectors,Other Sectors,2022,2023,2,15299179.0,2022-10-01
Health and Social Services,,2022,2023,2,132630702.0,2022-10-01
Miscellaneous Manufacturing,Manufacturing,2022,2023,2,7249820.0,2022-10-01
Advertising and Other Professional Services,Professional Services,2022,2023,2,14756858.0,2022-10-01
"City, School District, Local Quasi Govt.",Government,2022,2023,2,39689345.0,2022-10-01
Metal Manufacturing,Manufacturing,2022,2023,2,2175757.0,2022-10-01
Security and Investigation Services,Other Sectors,2022,2023,2,3119399.0,2022-10-01
Hospitals,Health and Social Services,2022,2023,2,66607379.0,2022-10-01
Telecommunication,,2022,2023,2,11476693.0,2022-10-01
Membership Organizations,Other Sectors,2022,2023,2,11035691.0,2022-10-01
Restaurants,,2022,2023,2,17194757.0,2022-10-01
"Arts, Entertainment, and Other Recreation",,2022,2023,2,4637062.0,2022-10-01
Other Educational Services,Education,2022,2023,2,3799309.0,2022-10-01
"Doctors, Dentists, and Other Health Practitioners",Health and Social Services,2022,2023,2,13272376.0,2022-10-01
Employment/Outsourcing Agencies,Other Sectors,2022,2023,2,11902934.0,2022-10-01
Public Utilities,,2022,2023,2,3575753.0,2022-10-01
"Elementary, Secondary Schools",Education,2022,2023,2,9674000.0,2022-10-01
Unclassified Accounts,,2022,2023,2,2485023.0,2022-10-01
Education,,2022,2023,2,55149061.0,2022-10-01
Pharmaceuticals,Manufacturing,2022,2023,2,6623037.0,2022-10-01
Social Services,Health and Social Services,2022,2023,2,22372059.0,2022-10-01
"Chemicals, Petroleum Refining",Manufacturing,2022,2023,2,3599915.0,2022-10-01
Outpatient Care Centers and Other Health Services,Health and Social Services,2022,2023,2,19359915.0,2022-10-01
Other Governments,Government,2022,2023,2,817368.0,2022-10-01
Banking & Credit Unions,,2022,2023,2,8572822.0,2022-10-01
Services to Buildings,Other Sectors,2022,2023,2,3537321.0,2022-10-01
Engineering & Architectural Services,Professional Services,2022,2023,2,7380706.0,2022-10-01
Other Sectors,,2022,2023,2,44894525.0,2022-10-01
"Publishing, Broadcasting, and Other Information",,2022,2023,2,7212467.0,2022-10-01
Sport Teams,,2022,2023,2,6127412.0,2022-10-01
Federal Government,Government,2022,2023,2,23689699.0,2022-10-01
Computer,Professional Services,2022,2023,2,6343469.0,2022-10-01
Professional Services,,2022,2023,2,69588525.0,2022-10-01
Retail Trade,,2022,2023,2,29200083.0,2022-10-01
Transportation and Warehousing,,2022,2023,2,19443098.0,2022-10-01
Securities / Financial Investments,,2022,2023,2,10154272.0,2022-10-01
Insurance,,2022,2023,2,13061697.0,2022-10-01
Manufacturing,,2022,2023,2,30827231.0,2022-10-01
