name,may_fy20,may_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,348848.0,438760.0,3255203.0,4361429.0,-1106226.0,,
other_fines,262437.0,1465190.0,12494486.0,11162590.0,1331896.0,,
reimbursements,3718785.0,2657452.0,27335458.0,24522630.0,2812828.0,,
asset_sales,,341665.0,1265714.0,1299570.0,-33856.0,,
payments_in_lieu_of_taxes,42287.0,907213.0,5668562.0,5205966.0,462595.0,,
cable_television,3346321.0,3450504.0,19469786.0,20001954.0,-532169.0,,
emergency_medical_services,4593941.0,3625373.0,40890316.0,35391615.0,5498702.0,,
commercial_trash_fee,671622.0,1096013.0,12838436.0,13727233.0,-888798.0,,
interest_earnings,1326013.0,3439972.0,14428949.0,16334945.0,-1905996.0,,
licenses_and_inspection_fees,3052443.0,7252197.0,57571773.0,64794594.0,-7222821.0,,
streets,811963.0,1888125.0,10225947.0,9962803.0,263144.0,,
health,7099700.0,6967383.0,61103410.0,34182972.0,26920438.0,,
sheriff,,98133.0,10119413.0,11835597.0,-1716184.0,,
records,973396.0,1594986.0,16548389.0,16232473.0,315916.0,,
court_related_costs,296002.0,2639282.0,20762887.0,27240984.0,-6478097.0,,
miscellaneous,6644412.0,1720762.0,23690283.0,20967182.0,2723101.0,,
total_local_nontax_revenue,33188171.0,39583011.0,337669012.0,317224539.0,20444473.0,26417988.0,92.74
