name,mar_fy17,mar_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,8772098.0,6865909.0,43167040.0,38870208.0,4296832.0,11158960.0,79.46
traffic_fines,708331.0,658155.0,3838801.0,4573886.0,-735085.0,2561199.0,59.98
payments_in_lieu_of_taxes,1353900.0,1410371.0,2439320.0,2513253.0,-73933.0,160680.0,93.82
cable_television,2853785.0,1645364.0,18567751.0,12943404.0,5624347.0,6299249.0,74.67
emergency_medical_services,3357163.0,3733963.0,32157432.0,30977328.0,1180104.0,11842568.0,73.09
court_related_costs,8187056.0,3926781.0,-14689601.0,33532775.0,-48222376.0,56139601.0,-35.44
interest_earnings,302509.0,51473.0,3618215.0,5344313.0,-1726098.0,-2118215.0,241.21
asset_sales,105956.0,,1829762.0,5095391.0,-3265629.0,224238.0,89.08
all_other_local_nontaxes,5883518.0,8541115.0,139984741.0,85735355.0,54249386.0,-26932741.0,123.82
total_local_nontax_revenue,31524316.0,26833131.0,230913461.0,219585913.0,11327548.0,59335539.0,79.56
