name,may_fy15,may_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5002825.0,4250134.0,47915651.0,47269255.0,646396.0,3274349.0,93.6
traffic_fines,521063.0,674546.0,5937086.0,6549657.0,-612571.0,1062914.0,84.82
payments_in_lieu_of_taxes,,220667.0,2481795.0,2495144.0,-13349.0,-81795.0,103.41
cable_television,5578847.0,1484822.0,21929922.0,21559132.0,370790.0,205078.0,99.07
emergency_medical_services,2878751.0,3375585.0,32788662.0,32858357.0,-69695.0,4611338.0,87.67
court_related_costs,3917895.0,3762220.0,41319559.0,41382765.0,-63206.0,380441.0,99.09
interest_earnings,70948.0,51946.0,1400034.0,1579144.0,-179110.0,-300034.0,127.28
asset_sales,73676.0,127222.0,1752920.0,824976.0,927944.0,1747080.0,50.08
all_other_local_nontaxes,8511226.0,8565804.0,98379102.0,101758506.0,-3379404.0,34421898.0,74.08
total_local_nontax_revenue,26555231.0,22512946.0,253904731.0,256276936.0,-2372205.0,45321269.0,84.85
