name,aug_fy20,aug_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5151997.0,5870243.0,11295248.0,10237372.0,1057876.0,57380752.0,16.45
traffic_fines,390490.0,437592.0,707012.0,804878.0,-97866.0,5092988.0,12.19
payments_in_lieu_of_taxes,44846.0,82780.0,332880.0,985380.0,-652500.0,3407120.0,8.9
cable_television,5520539.0,,5520539.0,3351826.0,2168713.0,16639461.0,24.91
emergency_medical_services,4675643.0,3907585.0,8566832.0,7048801.0,1518031.0,31433168.0,21.42
court_related_costs,3209683.0,4050131.0,6476898.0,9370959.0,-2894061.0,40073102.0,13.91
interest_earnings,67663.0,136313.0,81890.0,200833.0,-118943.0,8520110.0,0.95
asset_sales,405048.0,,596125.0,70490.0,525635.0,34153875.0,1.72
all_other_local_nontaxes,12060961.0,13841672.0,32102875.0,23243820.0,8859055.0,90947125.0,26.09
total_local_nontax_revenue,31526870.0,28326316.0,65680299.0,55314359.0,10365940.0,287647701.0,18.59
