name,dec_fy19,dec_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5911257.0,3705754.0,29724805.0,27258057.0,2466748.0,29951195.0,49.81
traffic_fines,349826.0,344774.0,2236463.0,2325041.0,-88578.0,4963537.0,31.06
payments_in_lieu_of_taxes,216162.0,,188518.0,579664.0,-391146.0,2411482.0,7.25
cable_television,,,11031767.0,11875275.0,-843508.0,13331233.0,45.28
emergency_medical_services,2945529.0,3633592.0,19179899.0,20981218.0,-1801319.0,20820101.0,47.95
court_related_costs,3191168.0,4423101.0,24966387.0,24912463.0,53924.0,18033613.0,58.06
interest_earnings,37403.0,556940.0,6757055.0,1472074.0,5284981.0,-3988055.0,244.03
asset_sales,136824.0,107259.0,513702.0,695283.0,-181581.0,736298.0,41.1
all_other_local_nontaxes,9424264.0,14989547.0,63943828.0,67336219.0,-3392391.0,46882172.0,57.7
total_local_nontax_revenue,22212433.0,27760967.0,158542424.0,157435294.0,1107130.0,133141576.0,54.35
