name,jan_fy16,jan_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3703621.0,2526544.0,25515012.0,22960187.0,2554825.0,27495988.0,48.13
traffic_fines,489625.0,550120.0,3373457.0,3610617.0,-237160.0,3626543.0,48.19
payments_in_lieu_of_taxes,295244.0,191367.0,1072883.0,899789.0,173094.0,1327117.0,44.7
cable_television,,4073176.0,11298040.0,14987261.0,-3689221.0,10143960.0,52.69
emergency_medical_services,4645113.0,3195600.0,23866557.0,21199848.0,2666709.0,13533443.0,63.81
court_related_costs,3774559.0,3541710.0,26322860.0,26595080.0,-272220.0,14877140.0,63.89
interest_earnings,1245098.0,57237.0,5250339.0,1176766.0,4073573.0,-3281339.0,266.65
asset_sales,1171242.0,192015.0,5095391.0,1059740.0,4035651.0,154609.0,97.06
all_other_local_nontaxes,13730234.0,11655199.0,72746668.0,64829319.0,7917349.0,33388332.0,68.54
total_local_nontax_revenue,29054736.0,25982968.0,174541207.0,157318607.0,17222600.0,101265793.0,63.28
