name,aug_fy17,aug_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5165664.0,3476005.0,8262784.0,7910662.0,352122.0,46063216.0,15.21
traffic_fines,382455.0,494078.0,783549.0,1098426.0,-314877.0,5616451.0,12.24
payments_in_lieu_of_taxes,67409.0,66733.0,376285.0,357947.0,18338.0,2223715.0,14.47
cable_television,4116957.0,5760233.0,4116957.0,5760233.0,-1643276.0,20750043.0,16.56
emergency_medical_services,4079014.0,2770061.0,7658417.0,5912104.0,1746313.0,31341583.0,19.64
court_related_costs,3931264.0,4050445.0,8165110.0,8154469.0,10641.0,33634890.0,19.53
interest_earnings,147468.0,2808990.0,195484.0,2881178.0,-2685694.0,1304516.0,13.03
asset_sales,148000.0,554888.0,168073.0,635720.0,-467647.0,5081927.0,3.2
all_other_local_nontaxes,9921176.0,9231759.0,23164790.0,19429953.0,3734837.0,88383210.0,20.77
total_local_nontax_revenue,27959407.0,29213192.0,52891449.0,52140692.0,750757.0,234399551.0,18.41
