name,sep_fy16,sep_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4041993.0,4081696.0,11952655.0,10416886.0,1535769.0,41058345.0,22.55
traffic_fines,478075.0,466845.0,1576501.0,1547932.0,28569.0,5423499.0,22.52
payments_in_lieu_of_taxes,,5074.0,357947.0,304446.0,53501.0,2042053.0,14.91
cable_television,,,5760233.0,5519200.0,241033.0,15681767.0,26.86
emergency_medical_services,3557996.0,2916401.0,9470100.0,8960568.0,509532.0,27929900.0,25.32
court_related_costs,3529159.0,3878896.0,11683629.0,11927246.0,-243617.0,29516371.0,28.36
interest_earnings,49061.0,44952.0,2924614.0,418919.0,2505695.0,-955614.0,148.53
asset_sales,2019913.0,75168.0,2655633.0,490348.0,2165285.0,2594367.0,50.58
all_other_local_nontaxes,11387790.0,7924398.0,30817748.0,27794165.0,3023583.0,75317252.0,29.04
total_local_nontax_revenue,25063987.0,19393430.0,77199060.0,67379710.0,9819350.0,198607940.0,27.99
