name,apr_fy18,apr_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,6555189.0,5110602.0,53266975.0,48278037.0,4988938.0,9089025.0,85.42
traffic_fines,424600.0,434933.0,4120792.0,4273734.0,-152942.0,2679208.0,60.6
payments_in_lieu_of_taxes,1598750.0,224466.0,3835482.0,2663786.0,1171696.0,-1235482.0,147.52
cable_television,,,17521406.0,18567751.0,-1046345.0,5714594.0,75.41
emergency_medical_services,6086732.0,3628104.0,34210941.0,35785536.0,-1574595.0,8564059.0,79.98
court_related_costs,2443689.0,4411246.0,39155447.0,39771855.0,-616408.0,3094553.0,92.68
interest_earnings,-736331.0,86898.0,3092022.0,3705113.0,-613091.0,-523022.0,120.36
asset_sales,553435.0,,1385642.0,1829762.0,-444120.0,-135642.0,110.85
all_other_local_nontaxes,9679112.0,8920640.0,101688479.0,98834351.0,2854128.0,25150521.0,80.17
total_local_nontax_revenue,26605176.0,22816889.0,258277186.0,253709925.0,4567261.0,52397814.0,83.13
