name,jul_fy17,jul_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3097120.0,4434656.0,3097120.0,4434656.0,-1337536.0,51228880.0,5.7
traffic_fines,401094.0,604347.0,401094.0,604347.0,-203253.0,5998906.0,6.27
payments_in_lieu_of_taxes,308876.0,291214.0,308876.0,291214.0,17662.0,2291124.0,11.88
cable_television,,,,,,24867000.0,0.0
emergency_medical_services,3579403.0,3142043.0,3579403.0,3142043.0,437360.0,35420597.0,9.18
court_related_costs,4233847.0,4104025.0,4233847.0,4104025.0,129822.0,37566153.0,10.13
interest_earnings,48016.0,72188.0,48016.0,72188.0,-24172.0,1451984.0,3.2
asset_sales,20073.0,80832.0,20073.0,80832.0,-60759.0,5229927.0,0.38
all_other_local_nontaxes,13243615.0,10198195.0,13243615.0,10198195.0,3045420.0,98304385.0,11.87
total_local_nontax_revenue,24932044.0,22927500.0,24932044.0,22927500.0,2004544.0,262358956.0,8.68
