name,mar_fy20,mar_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,312351.0,542826.0,2906355.0,3527046.0,-620691.0,2893645.0,50.11
other_fines,628486.0,1212373.0,11573793.0,8429253.0,3144539.0,-443793.0,103.99
reimbursements,440635.0,4968475.0,23294303.0,22186109.0,1108194.0,1343697.0,94.55
asset_sales,26206.0,269081.0,1268914.0,957905.0,311009.0,33981086.0,3.6
payments_in_lieu_of_taxes,950609.0,1369600.0,4272375.0,3207516.0,1064859.0,3071625.0,58.18
cable_television,,1996049.0,16123465.0,16551450.0,-427985.0,6036535.0,72.76
emergency_medical_services,3479525.0,6062719.0,32773404.0,28960240.0,3813164.0,7226596.0,81.93
commercial_trash_fee,646413.0,705587.0,11975912.0,12147825.0,-171913.0,2144088.0,84.82
interest_earnings,587312.0,1616909.0,10240642.0,10730076.0,-489435.0,-1822642.0,121.65
licenses_and_inspection_fees,6200178.0,7347290.0,52132889.0,50532025.0,1600864.0,14108111.0,78.7
streets,440186.0,976063.0,9371584.0,7237722.0,2133861.0,727416.0,92.8
health,7350507.0,2620866.0,51166714.0,21956001.0,29210713.0,-24835714.0,194.32
sheriff,2185761.0,1199462.0,10119413.0,9143941.0,975473.0,1126587.0,89.98
records,1609780.0,1324973.0,14538552.0,13084507.0,1454045.0,4211448.0,77.54
court_related_costs,1807645.0,3176093.0,20449893.0,22612855.0,-2162962.0,5450107.0,78.96
miscellaneous,587882.0,1573564.0,16420794.0,15889974.0,530821.0,9480206.0,-1202.19
total_local_nontax_revenue,27253476.0,36961929.0,288629001.0,247154446.0,41474556.0,64698999.0,81.69
