name,dec_fy18,dec_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3705754.0,3808833.0,27258057.0,24578776.0,2679281.0,31917943.0,46.06
traffic_fines,344774.0,365717.0,2325041.0,2310344.0,14697.0,4474959.0,34.19
payments_in_lieu_of_taxes,,30000.0,579664.0,782879.0,-203215.0,2020336.0,22.29
cable_television,,,11875275.0,11735114.0,140161.0,11360725.0,51.11
emergency_medical_services,3633592.0,3543662.0,20981218.0,22233681.0,-1252463.0,21518782.0,49.37
court_related_costs,4423101.0,3589063.0,24912463.0,23047371.0,1865092.0,17337537.0,58.96
interest_earnings,556940.0,157629.0,1472074.0,1869876.0,-397802.0,227926.0,86.59
asset_sales,107259.0,116482.0,695283.0,531820.0,163463.0,14054717.0,4.71
all_other_local_nontaxes,14989547.0,9605912.0,67331209.0,60952011.0,6379198.0,46714791.0,59.04
total_local_nontax_revenue,27760967.0,21217298.0,157430284.0,148041872.0,9388412.0,149627716.0,51.27
