name,feb_fy15,feb_fy14,fy15_ytd,fy14_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3945372.0,6260631.0,26905559.0,26742481.0,163078.0,22559441.0,54.39
traffic_fines,567625.0,580921.0,4178241.0,4626399.0,-448158.0,3821759.0,52.23
payments_in_lieu_of_taxes,,,899789.0,793237.0,106552.0,1500211.0,37.49
cable_television,1363814.0,937632.0,16351074.0,15679968.0,671106.0,5783926.0,73.87
emergency_medical_services,2624164.0,2646314.0,23824013.0,23226789.0,597224.0,13575987.0,63.7
court_related_costs,3431810.0,3310114.0,30026891.0,30153797.0,-126906.0,16823109.0,64.09
interest_earnings,30204.0,375308.0,1206970.0,1303142.0,-96172.0,662030.0,64.58
asset_sales,95.0,117.0,1059835.0,389511.0,670324.0,190165.0,84.79
all_other_local_nontaxes,5223119.0,13239929.0,70052439.0,79866121.0,-9813682.0,731290561.0,8.74
total_local_nontax_revenue,17186203.0,27350966.0,174504811.0,182781445.0,-8276634.0,796207189.0,17.98
