name,aug_fy21,aug_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,415321.0,390490.0,938046.0,707012.0,231034.0,,
other_fines,910541.0,1446102.0,1409659.0,2429111.0,-1019452.0,,
reimbursements,3770875.0,2925449.0,6181964.0,5589463.0,592501.0,,
asset_sales,,405048.0,28600.0,596125.0,-567525.0,,
payments_in_lieu_of_taxes,169438.0,44846.0,627686.0,992521.0,-364835.0,,
cable_television,,5520539.0,,5520539.0,-5520539.0,,
emergency_medical_services,2640473.0,4675643.0,5620194.0,8566832.0,-2946638.0,,
commercial_trash_fee,336446.0,459677.0,1111690.0,1352613.0,-240923.0,,
interest_earnings,131983.0,67663.0,201114.0,81891.0,119223.0,,
licenses_and_inspection_fees,4272049.0,4975634.0,9056694.0,10834745.0,-1778051.0,,
streets,1367332.0,2297876.0,2240418.0,3392064.0,-1151646.0,,
health,2150803.0,3597057.0,6860855.0,12598770.0,-5737916.0,,
sheriff,1192.0,788554.0,179883.0,4568938.0,-4389055.0,,
records,1756210.0,1696557.0,2996284.0,3242460.0,-246176.0,,
court_related_costs,1499913.0,973711.0,3107384.0,2639673.0,467711.0,,
miscellaneous,1400922.0,1262023.0,3096172.0,2567538.0,528634.0,,
total_local_nontax_revenue,20823497.0,31526868.0,43656642.0,65680295.0,-22023653.0,314233358.0,12.2
