name,nov_fy19,nov_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4040690.0,4408962.0,23813548.0,,23813548.0,35862452.0,39.9
traffic_fines,404253.0,366815.0,1886637.0,1980267.0,-93630.0,5313363.0,26.2
payments_in_lieu_of_taxes,,,-27645.0,579664.0,-607309.0,2627645.0,-1.06
cable_television,,5900364.0,11031767.0,11875275.0,-843508.0,13331233.0,45.28
emergency_medical_services,3465436.0,3751569.0,16234371.0,17347626.0,-1113255.0,23765629.0,40.59
court_related_costs,4551250.0,3800737.0,21775219.0,20489363.0,1285856.0,21224781.0,50.64
interest_earnings,2783183.0,70572.0,4577862.0,915135.0,3662727.0,-1808862.0,165.33
asset_sales,306261.0,104784.0,376878.0,588024.0,-211146.0,873122.0,30.15
all_other_local_nontaxes,13146953.0,5672453.0,54519565.0,75898974.0,-21379409.0,56306435.0,49.19
total_local_nontax_revenue,28698026.0,24076256.0,134188202.0,129674328.0,4513874.0,157495798.0,46.0
