name,jul_fy18,jul_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,4135312.0,3097120.0,4135312.0,3097120.0,1038192.0,55040688.0,6.99
traffic_fines,390934.0,401094.0,390934.0,401094.0,-10160.0,6409066.0,5.75
payments_in_lieu_of_taxes,149381.0,308876.0,149381.0,308876.0,-159495.0,2450619.0,5.75
cable_television,387000.0,,387000.0,,387000.0,22849000.0,1.67
emergency_medical_services,3839116.0,3579403.0,3839116.0,3579403.0,259713.0,38660884.0,9.03
court_related_costs,3825236.0,4233847.0,3825236.0,4233847.0,-408611.0,38424764.0,9.05
interest_earnings,132184.0,48016.0,132184.0,48016.0,84168.0,1567816.0,7.78
asset_sales,111894.0,20073.0,111894.0,20073.0,91821.0,14638106.0,0.76
all_other_local_nontaxes,11310691.0,13243615.0,11310691.0,13243615.0,-1932924.0,102735309.0,9.92
total_local_nontax_revenue,24281748.0,24932044.0,24281748.0,24932044.0,-650296.0,282776252.0,7.91
