name,feb_fy20,feb_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,284715.0,343557.0,2594004.0,2984220.0,-390216.0,3205996.0,44.72
other_fines,1046426.0,807858.0,10945307.0,7216881.0,3728426.0,184693.0,98.34
reimbursements,3064709.0,-2580800.0,22853668.0,17217635.0,5636034.0,1784332.0,92.76
asset_sales,374336.0,,1242708.0,688825.0,553883.0,34007292.0,3.53
payments_in_lieu_of_taxes,813162.0,1161931.0,3321766.0,1837916.0,1483850.0,4022234.0,45.23
cable_television,5320200.0,3523635.0,16123465.0,14555401.0,1568064.0,6036535.0,72.76
emergency_medical_services,2859052.0,517601.0,29293879.0,22897521.0,6396358.0,10706121.0,73.23
commercial_trash_fee,685225.0,723382.0,11329498.0,11442238.0,-112739.0,2790502.0,80.24
interest_earnings,1038186.0,143333.0,9653329.0,9113168.0,540162.0,-1235329.0,114.67
licenses_and_inspection_fees,8822874.0,9317147.0,45932711.0,43184735.0,2747976.0,20308289.0,69.34
streets,1552509.0,514183.0,8931398.0,6261660.0,2669738.0,1167602.0,88.44
health,3474085.0,1765111.0,43816207.0,19335135.0,24481072.0,-17485207.0,166.41
sheriff,19912.0,-780612.0,7933652.0,7944478.0,-10826.0,3312348.0,70.55
records,1328653.0,1139641.0,12928772.0,11759534.0,1169238.0,5821228.0,68.95
court_related_costs,2418332.0,1815446.0,18642248.0,19436762.0,,,
miscellaneous,2179497.0,1006996.0,15834742.0,14318597.0,721631.0,17324010.0,-10.0
total_local_nontax_revenue,35281872.0,19418409.0,261377355.0,210194704.0,51182650.0,91950645.0,73.98
