name,jun_fy19,jun_fy18,fy19_ytd,fy18_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5107137.0,5335792.0,72743517.0,64713201.0,8030316.0,-13067517.0,121.9
traffic_fines,311402.0,359782.0,4672832.0,4969128.0,-296296.0,2527168.0,64.9
payments_in_lieu_of_taxes,1293145.0,323238.0,4438748.0,4157312.0,281436.0,-1838748.0,170.72
cable_television,1939278.0,,21941232.0,23068351.0,-1127119.0,2421768.0,90.06
emergency_medical_services,4151392.0,3800528.0,39543007.0,41423347.0,-1880340.0,456993.0,98.86
court_related_costs,4139307.0,15156050.0,48801405.0,50249061.0,-1447656.0,-5801405.0,113.49
interest_earnings,4189799.0,6732775.0,20524744.0,9968813.0,10555931.0,-17755744.0,741.23
asset_sales,90.0,,1299660.0,1501863.0,-202203.0,-49660.0,103.97
all_other_local_nontaxes,12657596.0,-384064.0,137048543.0,117804609.0,19243934.0,-26222543.0,123.66
total_local_nontax_revenue,33789146.0,31324101.0,351013688.0,317855685.0,33158003.0,-59329688.0,120.34
