name,sep_fy21,sep_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
traffic_fines,197436.0,414085.0,1135482.0,1121097.0,14385.0,,
other_fines,758524.0,986134.0,2168183.0,3415245.0,-1247062.0,,
reimbursements,1875737.0,3472622.0,8057701.0,9062085.0,-1004384.0,,
asset_sales,,1240.0,28600.0,597365.0,-568765.0,,
payments_in_lieu_of_taxes,29334.0,,657020.0,992521.0,-335501.0,,
cable_television,,,,5520539.0,-5520539.0,,
emergency_medical_services,3353428.0,4018630.0,8973621.0,12585462.0,-3611841.0,,
commercial_trash_fee,322113.0,603197.0,1433804.0,1955810.0,-522007.0,,
interest_earnings,3138149.0,95983.0,3339262.0,177873.0,3161389.0,,
licenses_and_inspection_fees,5468142.0,5645746.0,14524890.0,16480491.0,-1955600.0,,
streets,1133839.0,500181.0,3374257.0,3892245.0,-517988.0,,
health,5057590.0,3677321.0,11918445.0,16276091.0,-4357646.0,,
sheriff,3649.0,521406.0,183532.0,5090344.0,-4906813.0,,
records,1675859.0,1422048.0,4672143.0,4664507.0,7636.0,,
court_related_costs,1469662.0,4647001.0,4577046.0,7286674.0,-2709628.0,,
miscellaneous,4004990.0,1353459.0,7101162.0,3920997.0,3180165.0,,
total_local_nontax_revenue,28488452.0,27359052.0,72145149.0,93039347.0,-20894198.0,285744851.0,20.16
