name,jun_fy18,jun_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5354947.0,4526993.0,64732356.0,58855898.0,5876458.0,-2376356.0,103.81
traffic_fines,359782.0,501775.0,4969128.0,5198349.0,-229221.0,1830872.0,73.08
payments_in_lieu_of_taxes,323238.0,1355749.0,4157312.0,4024048.0,133264.0,-1557312.0,159.9
cable_television,,,23068351.0,24532300.0,-1463949.0,167649.0,99.28
emergency_medical_services,3799378.0,2848593.0,41422197.0,40605577.0,816620.0,1352803.0,96.84
court_related_costs,5786018.0,4568469.0,48894643.0,47611617.0,1283026.0,-6644643.0,115.73
interest_earnings,90666.0,962375.0,3326704.0,4753969.0,-1427265.0,-757704.0,129.49
asset_sales,,572862.0,1501863.0,2489843.0,-987980.0,-251863.0,120.15
all_other_local_nontaxes,10683422.0,6909530.0,120856473.0,120623870.0,232603.0,5982527.0,95.28
total_local_nontax_revenue,26397451.0,22246346.0,312929027.0,308695471.0,4233556.0,-2254027.0,100.73
