name,dec_fy16,dec_fy15,fy16_ytd,fy15_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,3154668.0,3806065.0,21811392.0,20433643.0,1377749.0,31199608.0,41.15
traffic_fines,411798.0,680647.0,2883832.0,3060497.0,-176665.0,4116168.0,41.2
payments_in_lieu_of_taxes,,,777639.0,708423.0,69216.0,1622361.0,32.4
cable_television,,,11298040.0,10914085.0,383955.0,10143960.0,52.69
emergency_medical_services,3153740.0,2656320.0,19221444.0,18004248.0,1217196.0,18178556.0,51.39
court_related_costs,3457868.0,3448660.0,22548302.0,23053371.0,-505069.0,18651698.0,54.73
interest_earnings,43697.0,733831.0,3358592.0,1119529.0,2239063.0,-1389592.0,170.57
asset_sales,,374752.0,3924149.0,867727.0,3056422.0,1325851.0,74.75
all_other_local_nontaxes,13487368.0,7924417.0,59016436.0,53174116.0,5842320.0,47118564.0,55.61
total_local_nontax_revenue,23709139.0,19624692.0,144839826.0,131335639.0,13504187.0,130967174.0,52.51
