name,dec_fy20,dec_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
licenses_and_inspection_fees,5500741.0,5911257.0,33413286.0,29724805.0,3688481.0,35262714.0,48.65
traffic_fines,275281.0,349826.0,1984016.0,2236463.0,-252447.0,3815984.0,34.21
payments_in_lieu_of_taxes,,216162.0,441035.0,188518.0,252517.0,3298965.0,11.79
cable_television,,,10803265.0,11031767.0,-228502.0,11356735.0,48.75
emergency_medical_services,3316363.0,2945529.0,23003737.0,19179899.0,3823838.0,16996263.0,57.51
court_related_costs,4178983.0,3191168.0,25146458.0,17084589.0,8061869.0,21403542.0,54.02
interest_earnings,1699017.0,37403.0,6709563.0,6757055.0,-47492.0,1892437.0,78.0
asset_sales,2863.0,136824.0,868372.0,513702.0,354670.0,33881628.0,2.5
all_other_local_nontaxes,17922108.0,9424264.0,95712427.0,71825626.0,23886801.0,27337573.0,77.78
total_local_nontax_revenue,32895356.0,22212433.0,198082159.0,158542424.0,39539735.0,155245841.0,56.06
